symbol_a,symbol_b,mcap_tercile,industry_same,prompt_variant,llm_tag,llm_conf,normalized_bucket,rationale_A,rationale_B,claim_type,basis_hint,counter_signal,verdict
ELV,UNH,상,동일,A,건강 보험 및 관리 의료,0.98,헬스케어·의료기기·제약,"{""claim"": ""Elevance Health (ELV)와 UnitedHealth Group (UNH)은 미국 내에서 건강 보험 플랜 및 관리 의료 서비스를 제공하는 주요 기업으로서 직접적으로 경쟁합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""ELV는 Anthem의 후신으로 다양한 건강 보험 플랜을 제공하며, UNH는 UnitedHealthcare 부문을 통해 건강 보험 및 관련 서비스를 제공합니다."", ""counter_signal"": """"}",,known_fact,"ELV는 Anthem의 후신으로 다양한 건강 보험 플랜을 제공하며, UNH는 UnitedHealthcare 부문을 통해 건강 보험 및 관련 서비스를 제공합니다.",,
GLW,KEYS,상,동일,A,첨단 전자 및 광학 기술,0.9,반도체·메모리,"{""claim"": ""Corning은 광섬유 및 특수 유리 등 첨단 소재를 제공하고, Keysight는 통신 및 전자 기기용 측정 솔루션을 제공하여, 두 회사 모두 첨단 전자 및 광학 기술 산업의 핵심 플레이어입니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 사 사업보고서 및 산업 분석 자료"", ""counter_signal"": ""직접적인 경쟁 관계는 아니며, 사업 영역이 재료 공급과 측정 장비로 구분되어 있다는 점.""}",,known_fact,각 사 사업보고서 및 산업 분석 자료,"직접적인 경쟁 관계는 아니며, 사업 영역이 재료 공급과 측정 장비로 구분되어 있다는 점.",
BKNG,RCL,상,동일,A,여행 및 레저,0.98,여행·숙박·크루즈,"{""claim"": ""BKNG는 다양한 온라인 여행 예약 서비스를 제공하고, RCL은 크루즈 여행 상품을 운영하며, 둘 다 소비자에게 여행 및 레저 경험을 제공하는 사업 영역에서 경쟁한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 사업 보고서 및 시장 포지션 분석"", ""counter_signal"": ""BKNG는 중개 플랫폼이고 RCL은 직접 서비스 제공자라는 운영 방식의 차이가 있으나, 최종 소비자의 여행 및 레저 지출이라는 관점에서는 여전히 경쟁 관계이다.""}",,known_fact,각 기업의 사업 보고서 및 시장 포지션 분석,"BKNG는 중개 플랫폼이고 RCL은 직접 서비스 제공자라는 운영 방식의 차이가 있으나, 최종 소비자의 여행 및 레저 지출이라는 관점에서는 여전히 경쟁 관계이다.",
PSX,VLO,상,동일,A,정유 사업,0.95,에너지·유전·수처리,"{""claim"": ""PSX (Phillips 66)와 VLO (Valero Energy)는 모두 북미 최대 규모의 독립 정유 및 마케팅 회사로, 석유 제품 생산 및 유통 시장에서 직접적으로 경쟁합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 회사 웹사이트의 사업 부문 소개 및 10-K 보고서; 산업 분석 자료."", ""counter_signal"": ""VLO는 재생 에너지 연료 생산 부문을, PSX는 미드스트림 및 화학 부문을 보유하고 있으나, 핵심 사업 경쟁 도메인은 정유입니다.""}",,known_fact,두 회사 웹사이트의 사업 부문 소개 및 10-K 보고서; 산업 분석 자료.,"VLO는 재생 에너지 연료 생산 부문을, PSX는 미드스트림 및 화학 부문을 보유하고 있으나, 핵심 사업 경쟁 도메인은 정유입니다.",
AMD,MPWR,상,동일,A,반도체 전력 관리 솔루션,0.9,반도체·메모리,"{""claim"": ""MPWR은 AMD의 프로세서와 같은 고성능 반도체 부품의 안정적인 작동에 필수적인 전력 관리 IC를 설계 및 공급하므로, 두 기업은 반도체 산업 내에서 상호 보완적인 연결 관계를 가진다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 주요 제품 포트폴리오 및 시장 적용 분야에 대한 분석."", ""counter_signal"": """"}",,known_fact,각 기업의 주요 제품 포트폴리오 및 시장 적용 분야에 대한 분석.,,
CSX,WAB,상,동일,A,철도 운송 및 장비,1.0,자동차·부품·산업재,"{""claim"": ""CSX는 북미 주요 화물 철도 운송 회사이며, Wabtec은 철도 차량, 장비 및 디지털 솔루션을 공급하는 회사로, 둘은 철도 산업 생태계 내에서 연결됩니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""CSX는 철도 운송 서비스를 제공하고, Wabtec은 해당 서비스에 필요한 장비와 부품을 제조 및 공급합니다."", ""counter_signal"": """"}",,known_fact,"CSX는 철도 운송 서비스를 제공하고, Wabtec은 해당 서비스에 필요한 장비와 부품을 제조 및 공급합니다.",,
HON,MMM,상,동일,A,산업 안전 및 제조 솔루션,0.9,자동차·부품·산업재,"{""claim"": ""Honeywell과 3M은 개인 보호 장비(PPE), 산업용 접착제, 연마재, 공정 제어 및 자동화 등 다양한 산업 안전 및 제조 솔루션 분야에서 직접적으로 경쟁하며 유사한 산업 고객층을 가집니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 사의 사업 보고서(예: Honeywell의 Safety and Productivity Solutions, 3M의 Safety & Industrial 부문)에서 제품 포트폴리오와 시장 공략 방식을 확인했습니다."", ""counter_signal"": ""Honeywell은 항공우주, 빌딩 기술 등 3M이 크게 관여하지 않는 분야에 강점을 가지고 있으며, 3M은 소비자 제품, 헬스케어 등 Honeywell과 겹치지 않는 광범위한 사업을 영위하고 있어 일부 영역에서는 직접 경쟁이 적습니다.""}",,known_fact,"각 사의 사업 보고서(예: Honeywell의 Safety and Productivity Solutions, 3M의 Safety & Industrial 부문)에서 제품 포트폴리오와 시장 공략 방식을 확인했습니다.","Honeywell은 항공우주, 빌딩 기술 등 3M이 크게 관여하지 않는 분야에 강점을 가지고 있으며, 3M은 소비자 제품, 헬스케어 등 Honeywell과 겹치지 않는 광범위한 사업을 영위하고 있어 일부 영역에서는 직접 경쟁이 적습니다.",
AEP,XEL,상,동일,A,전력 유틸리티,1.0,유틸리티,"{""claim"": ""AEP와 XEL은 미국 내 여러 주에서 전력 생산, 송전, 배전 및 판매 서비스를 제공하는 주요 전력 유틸리티 기업들이다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""기업 공식 웹사이트, 금융 데이터 제공업체 섹터 분류 (예: Bloomberg, Refinitiv)."", ""counter_signal"": """"}",,known_fact,"기업 공식 웹사이트, 금융 데이터 제공업체 섹터 분류 (예: Bloomberg, Refinitiv).",,
AMD,TER,상,동일,A,반도체 테스트 솔루션,0.9,반도체·메모리,"{""claim"": ""AMD는 반도체 칩을 설계하고 생산하며, Teradyne은 이러한 반도체 칩의 품질과 성능을 검증하는 데 필요한 테스트 장비 및 솔루션을 제공한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""AMD의 주력 제품(CPU, GPU), Teradyne의 주요 사업(반도체 자동 테스트 장비)."", ""counter_signal"": ""AMD와 Teradyne은 직접적인 경쟁 관계에 있지 않으며, Teradyne이 반도체 칩을 직접 생산하지 않는다.""}",,known_fact,"AMD의 주력 제품(CPU, GPU), Teradyne의 주요 사업(반도체 자동 테스트 장비).","AMD와 Teradyne은 직접적인 경쟁 관계에 있지 않으며, Teradyne이 반도체 칩을 직접 생산하지 않는다.",
HLT,MAR,상,동일,A,글로벌 호텔 체인,1.0,여행·숙박·크루즈,"{""claim"": ""HLT와 MAR은 전 세계적으로 호텔 및 리조트를 운영, 프랜차이즈, 라이선스하는 대표적인 글로벌 호텔 체인으로 직접적인 경쟁 관계에 있다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 기업의 주요 사업 모델 및 제공하는 서비스 영역이 거의 동일함."", ""counter_signal"": """"}",,known_fact,두 기업의 주요 사업 모델 및 제공하는 서비스 영역이 거의 동일함.,,
ADI,QCOM,상,동일,B,신호 처리 및 연결 반도체,0.9,반도체·메모리,,"{""claim"": ""ADI는 아날로그 신호 처리 및 전력 관리 IC에, QCOM은 무선 통신 및 고성능 디지털 SoC에 강점을 가지며, 이들은 차량, 통신, IoT 등 복합 시스템에서 신호 처리 및 연결 기능을 제공하며 상호 보완적 관계를 형성합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 사의 주요 제품 포트폴리오 및 핵심 기술 (아날로그/혼성 신호 vs. 무선 통신/디지털 컴퓨팅)."", ""counter_signal"": ""두 회사가 독립적인 단일 칩 솔루션보다는 시스템 수준에서 긴밀히 협력하는 경향이 강해 직접적인 제품 경쟁은 제한적입니다.""}",known_fact,각 사의 주요 제품 포트폴리오 및 핵심 기술 (아날로그/혼성 신호 vs. 무선 통신/디지털 컴퓨팅).,두 회사가 독립적인 단일 칩 솔루션보다는 시스템 수준에서 긴밀히 협력하는 경향이 강해 직접적인 제품 경쟁은 제한적입니다.,
CDNS,UBER,상,동일,B,이질적인 소프트웨어 서비스,1.0,클라우드·엔터프라이즈SW,,"{""claim"": ""Cadence는 반도체 및 전자 시스템 설계 소프트웨어(EDA)를, Uber는 승차 호출 및 음식 배달 플랫폼 서비스를 제공하여 사업 도메인이 완전히 다릅니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 사업 보고서 및 공개된 서비스 내용."", ""counter_signal"": """"}",known_fact,각 기업의 사업 보고서 및 공개된 서비스 내용.,,
AMT,IRM,상,동일,B,데이터 인프라,0.8,부동산·REIT,,"{""claim"": ""두 회사 모두 데이터의 저장, 전송 및 관리에 필수적인 물리적 인프라를 제공하며, 특히 데이터센터 사업에서 교차점이 뚜렷하다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""AMT는 통신 타워 및 데이터센터를, IRM은 물리적 기록 보관소 및 데이터센터를 운영함."", ""counter_signal"": ""각 사의 전통적인 핵심 사업 영역(AMT의 통신 타워, IRM의 물리적 기록 보관)에는 차이가 있음.""}",known_fact,"AMT는 통신 타워 및 데이터센터를, IRM은 물리적 기록 보관소 및 데이터센터를 운영함.","각 사의 전통적인 핵심 사업 영역(AMT의 통신 타워, IRM의 물리적 기록 보관)에는 차이가 있음.",
PGR,TRV,상,동일,B,손해보험,0.99,금융·결제·거래소,,"{""claim"": ""두 회사 모두 명시적으로 'Insurance - Property & Casualty' 부문으로 분류되어 있으며, 이는 동일한 사업 영역에서 경쟁하고 있음을 나타냅니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 종목의 회사 설명에 명시된 산업 분류(Insurance - Property & Casualty)"", ""counter_signal"": """"}",known_fact,두 종목의 회사 설명에 명시된 산업 분류(Insurance - Property & Casualty),,
ACGL,AIG,상,동일,B,다각화 보험 서비스,0.95,금융·결제·거래소,,"{""claim"": ""ACGL과 AIG는 모두 다각화된 보험 및 재보험 시장에서 광범위한 상품과 서비스를 제공하며 직접적으로 경쟁합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""양사 모두 S&P Global 및 주요 금융 정보 제공업체에서 'Insurance - Diversified'로 분류됩니다."", ""counter_signal"": """"}",known_fact,양사 모두 S&P Global 및 주요 금융 정보 제공업체에서 'Insurance - Diversified'로 분류됩니다.,,
KLAC,NXPI,상,동일,B,반도체 제조 솔루션 및 부품,0.95,반도체·메모리,,"{""claim"": ""KLAC는 반도체 제조 공정 제어 및 수율 관리 장비와 소프트웨어를 제공하는 솔루션 기업이며, NXPI는 자동차 및 산업용 반도체 칩을 설계 및 생산하는 기업으로, 둘 다 반도체 제조 가치 사슬의 필수적인 부분을 구성합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 사업 모델 및 핵심 제품/서비스 분석"", ""counter_signal"": """"}",known_fact,각 기업의 사업 모델 및 핵심 제품/서비스 분석,,
ABBV,JNJ,상,동일,B,전문의약품 시장 경쟁,0.9,헬스케어·의료기기·제약,,"{""claim"": ""두 회사 모두 면역학, 종양학, 신경과학 분야에서 혁신적인 전문의약품을 개발하고 판매하며 직접적으로 경쟁합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""ABBV 및 JNJ의 주요 파이프라인 및 출시 제품 목록, 투자자 보고서"", ""counter_signal"": ""JNJ는 의료기기 사업 부문도 크지만, ABBV와의 직접적인 의약품 경쟁 영역에서는 관련성이 낮습니다.""}",known_fact,"ABBV 및 JNJ의 주요 파이프라인 및 출시 제품 목록, 투자자 보고서","JNJ는 의료기기 사업 부문도 크지만, ABBV와의 직접적인 의약품 경쟁 영역에서는 관련성이 낮습니다.",
GD,GE,상,동일,B,항공우주 제조,0.95,자동차·부품·산업재,,"{""claim"": ""General Dynamics는 항공기와 방산 플랫폼을 제조하고, GE Aerospace는 항공기 엔진을 제조하여, 둘 다 항공우주 분야의 핵심 제조 활동을 수행합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""양사의 사업 보고서 및 공개된 정보"", ""counter_signal"": ""GD는 엔진을 직접 제조하지 않으며, GE Aerospace는 완제품 항공기를 제조하지 않으므로 직접적인 제품 경쟁은 없습니다.""}",known_fact,양사의 사업 보고서 및 공개된 정보,"GD는 엔진을 직접 제조하지 않으며, GE Aerospace는 완제품 항공기를 제조하지 않으므로 직접적인 제품 경쟁은 없습니다.",
PYPL,V,상,동일,B,디지털 결제 서비스,0.95,금융·결제·거래소,,"{""claim"": ""PayPal은 온라인 및 모바일 결제 솔루션을, Visa는 신용/직불카드 기반의 글로벌 결제 네트워크를 제공하며, 둘 다 전자상거래 및 일반 상거래에서 디지털 거래를 가능하게 한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""PYPL은 Venmo 및 PayPal 플랫폼을 통한 디지털 지갑/P2P 결제 제공. V는 카드 네트워크를 통한 전자 결제 처리."", ""counter_signal"": ""Visa는 주로 결제 인프라 네트워크이고 PayPal은 직접적인 소비자/판매자 플랫폼이지만, 양사 모두 디지털 결제 시장에서 경쟁하며 서비스 영역이 확장되고 있다.""}",known_fact,PYPL은 Venmo 및 PayPal 플랫폼을 통한 디지털 지갑/P2P 결제 제공. V는 카드 네트워크를 통한 전자 결제 처리.,"Visa는 주로 결제 인프라 네트워크이고 PayPal은 직접적인 소비자/판매자 플랫폼이지만, 양사 모두 디지털 결제 시장에서 경쟁하며 서비스 영역이 확장되고 있다.",
PCG,XEL,상,동일,B,규제 전력 유틸리티,1.0,유틸리티,,"{""claim"": ""PCG와 XEL 모두 설명에 'Regulated Electric'으로 명시된 규제 대상 전력 유틸리티 기업입니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 종목의 설명에 공통적으로 'Regulated Electric' 키워드가 포함되어 있습니다."", ""counter_signal"": """"}",known_fact,두 종목의 설명에 공통적으로 'Regulated Electric' 키워드가 포함되어 있습니다.,,
D,PEG,상,동일,B,규제 전력 사업,1.0,유틸리티,,"{""claim"": ""두 회사 모두 규제 환경에서 전력 생산, 송전 및 분배 서비스를 제공하는 핵심 사업을 영위합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 종목 설명에 'Regulated Electric'으로 명시되어 있습니다."", ""counter_signal"": """"}",known_fact,각 종목 설명에 'Regulated Electric'으로 명시되어 있습니다.,,
EXC,PCG,상,동일,B,규제 전력 유틸리티,1.0,유틸리티,,"{""claim"": ""두 회사 모두 'Regulated Electric'으로 명시되어 있어 규제 전력 생산, 송전 및 배전 사업 도메인에서 직접 경쟁 또는 협력하는 관계에 있다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""제공된 회사 설명"", ""counter_signal"": """"}",known_fact,제공된 회사 설명,,
CI,HUM,상,동일,B,건강 보험 서비스,1.0,헬스케어·의료기기·제약,,"{""claim"": ""시그나와 휴매나는 모두 미국에서 건강 보험 플랜 및 관련 의료 관리 서비스를 제공하는 주요 기업으로, 핵심 사업 영역에서 직접적으로 경쟁한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 기업의 공식 산업 분류(Medical - Healthcare Plans) 및 사업 설명"", ""counter_signal"": """"}",known_fact,두 기업의 공식 산업 분류(Medical - Healthcare Plans) 및 사업 설명,,
APP,INTU,상,동일,B,애플리케이션 소프트웨어 산업,0.7,클라우드·엔터프라이즈SW,,"{""claim"": ""AppLovin은 모바일 앱 마케팅 및 수익화 플랫폼을 제공하며, Intuit은 재무 관리 소프트웨어(세금, 회계)에 집중하므로 직접적인 경쟁이나 긴밀한 사업적 연결 도메인은 없지만, 두 회사 모두 넓은 의미의 애플리케이션 소프트웨어 산업에 속한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 주요 사업 모델 및 제공 서비스 비교"", ""counter_signal"": ""두 기업 모두 상위 분류인 'Software - Application' 섹터에 속한다는 공통점""}",known_fact,각 기업의 주요 사업 모델 및 제공 서비스 비교,두 기업 모두 상위 분류인 'Software - Application' 섹터에 속한다는 공통점,
ARES,BLK,상,동일,B,자산 운용,1.0,금융·결제·거래소,,"{""claim"": ""Ares Management와 BlackRock은 모두 기관 및 개인 투자자를 대상으로 다양한 자산 클래스에 걸쳐 투자 관리 및 자문 서비스를 제공하는 주요 자산 운용사입니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""두 회사의 공식 사업 설명 및 시장 포지셔닝"", ""counter_signal"": """"}",known_fact,두 회사의 공식 사업 설명 및 시장 포지셔닝,,
ED,WEC,상,동일,B,규제 전력 유틸리티,0.9,유틸리티,,"{""claim"": ""ED와 WEC 두 종목 모두 사업 설명에 'Regulated Electric'으로 명시되어 있어, 규제된 전력 공급 및 유틸리티 사업을 주요 사업 도메인으로 한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""제공된 종목 설명 ('Regulated Electric')"", ""counter_signal"": """"}",known_fact,제공된 종목 설명 ('Regulated Electric'),,
ABT,BSX,상,동일,B,심혈관 및 신경 조절 의료기기,1.0,헬스케어·의료기기·제약,,"{""claim"": ""두 회사 모두 심혈관 질환 치료(스텐트, 심장판막) 및 만성 통증/운동 장애 관리를 위한 신경 조절(SCS, DBS) 의료기기 시장에서 직접적으로 경쟁합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""ABT 및 BSX의 공식 웹사이트, 투자자 자료, 산업 보고서에서 양사의 심혈관 및 신경 조절 제품 포트폴리오 확인 가능."", ""counter_signal"": """"}",known_fact,"ABT 및 BSX의 공식 웹사이트, 투자자 자료, 산업 보고서에서 양사의 심혈관 및 신경 조절 제품 포트폴리오 확인 가능.",,
INTC,KLAC,상,동일,B,반도체 생산 공정,0.9,반도체·메모리,,"{""claim"": ""인텔(INTC)은 반도체 칩을 설계하고 생산하는 주요 기업이며, KLA(KLAC)는 이러한 반도체 생산 공정의 수율과 품질을 관리하는 필수 장비를 공급한다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""각 기업의 사업 보고서 및 산업 포지셔닝"", ""counter_signal"": """"}",known_fact,각 기업의 사업 보고서 및 산업 포지셔닝,,
AEP,ED,상,동일,B,전력 유틸리티,1.0,유틸리티,,"{""claim"": ""두 회사는 모두 전력의 생산, 송전, 배전 및 공급을 포함하는 규제 대상 전력 유틸리티 사업을 운영합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""회사 사업 설명에 명시된 'Regulated Electric' 분류"", ""counter_signal"": """"}",known_fact,회사 사업 설명에 명시된 'Regulated Electric' 분류,,
DUK,XEL,상,동일,B,전력 유틸리티,1.0,유틸리티,,"{""claim"": ""두 회사 모두 명시적으로 'Regulated Electric' 사업을 영위하며, 전력 생산, 송전, 배전을 규제 하에 제공하는 동일한 핵심 산업에 속합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""제공된 회사 설명에 'Regulated Electric' 명시"", ""counter_signal"": """"}",known_fact,제공된 회사 설명에 'Regulated Electric' 명시,,
AAPL,AMD,상,상이,A,컴퓨팅 칩 설계 및 공급,0.95,반도체·메모리,"{""claim"": ""Apple은 자사 제품용 M 시리즈 칩을 개발하여 AMD와 같은 외부 CPU/GPU 공급업체에 대한 의존도를 줄였으며, 이는 기능적 경쟁 관계를 형성합니다."", ""claim_type"": ""known_fact"", ""basis_hint"": ""Apple M 시리즈 칩 발표 및 Mac 라인업 전환, AMD의 Mac Pro GPU 공급 이력."", ""counter_signal"": ""AMD는 여전히 특정 Apple 제품(예: Mac Pro)에 GPU를 공급할 수 있으나, Apple의 핵심 제품 자체 칩 전환은 큰 변화입니다.""}",,known_fact,"Apple M 시리즈 칩 발표 및 Mac 라인업 전환, AMD의 Mac Pro GPU 공급 이력.","AMD는 여전히 특정 Apple 제품(예: Mac Pro)에 GPU를 공급할 수 있으나, Apple의 핵심 제품 자체 칩 전환은 큰 변화입니다.",
