symbol_pair,relation_type,basis,draft_domain,type_match,suggested_type,gate_class,review_status,target_in_basis,type_signature_ok,confidence,json_ok,review_section
ANET↔HPE,COMPETES_WITH,"SEC 10-K: competition also coming from other large network equipment and system vendors, including Dell/EMC, E",네트워크 장비 및 시스템,True,,pending,pending,False,True,0.7,True,B_individual
ANET↔NVDA,COMPETES_WITH,"SEC 10-K: competition also coming from other large network equipment and system vendors, including Dell/EMC, E",네트워크 장비,True,,pending,pending,False,True,0.4,True,B_individual
AVY↔INTC,COMPETES_WITH,"SEC 10-K: Fedrigoni Self-Adhesives; Lintec Corporation; Flexcon Corporation, Inc.; and an array of smaller reg",,False,COMPETES_WITH,pending,pending,True,True,0.0,True,B_individual
AVY↔PPL,COMPETES_WITH,"SEC 10-K: Our larger competitors in label materials include UPM Adhesive Materials, a subsidiary of UPM Corpor",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,B_individual
AXP↔MA,COMPETES_WITH,"SEC 10-K: We compete worldwide with payments networks such as Visa, American Express, JCB, China UnionPay and ",결제 네트워크,True,,pending,pending,False,True,1.0,True,B_individual
BAX↔COO,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,,pending,pending,True,True,0.0,True,B_individual
BKNG↔EXPE,COMPETES_WITH,"SEC 10-K: Competitive entrants such as “metasearch” companies, including Kayak.com (owned by Booking Holdings)",메타 검색,True,,pending,pending,False,True,0.8,True,B_individual
BKR↔CAT,COMPETES_WITH,"SEC 10-K: An additional set of competitors, including Aggreko plc, Generac Holdings Inc., Discovery Energy, LL",,False,,pending,pending,False,True,0.0,True,B_individual
BLK↔MSCI,COMPETES_WITH,"SEC 10-K: Certain of our clients are also significant shareholders, competitors or distributors of our content",,True,,pending,pending,False,True,0.2,True,B_individual
CAH↔COR,COMPETES_WITH,"SEC 10-K: In the Pharma segment, we compete with wholesale distributors with national reach, including McKesso",제약 도매 유통,True,,pending,pending,False,True,0.5,True,B_individual
CAH↔MCK,COMPETES_WITH,"SEC 10-K: Certain competitors also offer combinations of distribution, GPO, and provider services capabilities",의료 유통,True,,pending,pending,False,True,0.9,True,B_individual
CARR↔JCI,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,False,COMPETES_WITH,pending,pending,True,True,0.1,True,B_individual
CBOE↔CME,COMPETES_WITH,"SEC 10-K: Our competitors include, among other entities, exchanges such as Intercontinental Exchange, Inc. (IC",금융 거래소,True,,pending,pending,False,True,0.9,True,B_individual
CCL↔NCLH,COMPETES_WITH,"SEC 10-K: Based on 2025 Cruise Industry News statistics, as of December 31, 2025, we, along with our principal",크루즈 산업,True,,pending,pending,True,True,0.3,True,B_individual
CCL↔RCL,COMPETES_WITH,"SEC 10-K: Based on 2025 Cruise Industry News statistics, as of December 31, 2025, we, along with our principal",크루즈 산업,True,,pending,pending,False,True,0.4,True,B_individual
CDNS↔CTVA,COMPETES_WITH,"SEC 10-K: U.S.-based competitors include Keysight Technologies, Inc., Schrödinger, Inc., and CEVA, Inc., while",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,B_individual
CHTR↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.8,True,B_individual
CI↔GEHC,COMPETES_WITH,"SEC 10-K: However, we continue to monitor developments in the China market, including increased competition fr",,True,,pending,pending,False,True,0.3,True,B_individual
CMCSA↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.2,True,B_individual
CME↔MSCI,COMPETES_WITH,SEC 10-K: Among our Index competitors are S&P Dow Jones Indices LLC (a joint venture of S&P Global Inc. and CM,인덱스 서비스,True,,pending,pending,False,True,0.95,True,B_individual
COO↔HOLX,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,COMPETES_WITH,pending,pending,True,True,0.05,True,B_individual
COO↔MDT,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,,pending,pending,True,True,0.0,True,B_individual
COR↔MCK,COMPETES_WITH,"SEC 10-K: Certain competitors also offer combinations of distribution, GPO, and provider services capabilities",유통,True,,pending,pending,False,True,0.85,True,B_individual
CRM↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",기업 클라우드,True,,pending,pending,False,True,0.6,True,B_individual
CSCO↔DDOG,COMPETES_WITH,"SEC 10-K: With respect to APM, we compete with companies including Cisco Systems, Inc., New Relic, Inc. and Dy",애플리케이션 성능 모니터링,True,,pending,pending,False,True,1.0,True,B_individual
CSCO↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.8,True,B_individual
CVNA↔TSLA,COMPETES_WITH,"SEC 10-K: For example, rapid changes in technology, including rideshare services and the development of autono",자율주행 기술,False,COMPETES_WITH,pending,pending,False,True,0.1,True,B_individual
DDOG↔MSFT,COMPETES_WITH,"SEC 10-K: With respect to on-premise infrastructure monitoring, we compete with diversified technology compani",온프레미스 인프라 모니터링,True,,pending,pending,False,True,0.8,True,B_individual
DDOG↔SNDK,COMPETES_WITH,"SEC 10-K: With respect to on-premise infrastructure monitoring, we compete with diversified technology compani",,False,,pending,pending,False,True,0.0,True,B_individual
DIS↔FOXA,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",스트리밍 서비스,True,,pending,pending,False,True,0.7,True,B_individual
DXCM↔MDT,COMPETES_WITH,SEC 10-K: Medtronic plc’s Diabetes Group (which implemented a spinoff of its diabetes business into a separate,당뇨병 관리,False,COMPETES_WITH,pending,pending,True,True,0.1,True,B_individual
EBAY↔GOOG,COMPETES_WITH,"SEC 10-K: From time to time, Alphabet has made changes to their algorithms and methodologies that have reduced",,False,DEPENDS_ON,pending,pending,True,True,0.0,True,B_individual
EFX↔FICO,COMPETES_WITH,"SEC 10-K: For example, Experian, TransUnion and Equifax have developed a credit scoring product to compete dir",신용 점수 산정 제품,True,,pending,pending,False,True,0.9,True,B_individual
EXPE↔GOOGL,COMPETES_WITH,"SEC 10-K: In addition to the growth of online travel agencies, we have seen continued interest in the online t",온라인 여행사,False,COMPETES_WITH,pending,pending,False,True,0.2,True,B_individual
FAST↔GPC,COMPETES_WITH,"SEC 10-K: In industrial distribution, our main competitor is Applied Industrial Technologies, Inc., but we als",산업 유통,False,COMPETES_WITH,pending,pending,False,True,0.0,True,B_individual
FISV↔GPN,COMPETES_WITH,"SEC 10-K: Our competitors in this business include, but are not limited to, Fiserv, FIS, Marqeta, Nexi, Worldl",,True,,pending,pending,False,True,1.0,True,B_individual
FISV↔JKHY,COMPETES_WITH,SEC 10-K: Our core solutions compete with large vendors that provide information and transaction processing so,정보 및 거래 처리,True,,pending,pending,False,True,1.0,True,B_individual
FIS↔JKHY,COMPETES_WITH,SEC 10-K: Our core solutions compete with large vendors that provide information and transaction processing so,정보·거래 처리 솔루션,True,,pending,pending,False,True,0.5,True,B_individual
FOXA↔GOOGL,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",다이렉트 투 컨슈머 스트리밍 서비스,True,,pending,pending,False,True,0.9,True,B_individual
GOOGL↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, software and hardware offerings compete directly with certain offerings from s",클라우드 서비스,True,,pending,pending,False,True,0.9,True,B_individual
GOOGL↔TTD,COMPETES_WITH,"SEC 10-K: We compete with other demand-side platform providers, some of which are smaller, privately held comp",수요측 플랫폼,True,,pending,pending,False,True,0.95,True,B_individual
GOOG↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.6,True,B_individual
GPC↔GWW,COMPETES_WITH,"SEC 10-K: In industrial distribution, our main competitor is Applied Industrial Technologies, Inc., but we als",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,B_individual
GPC↔LKQ,COMPETES_WITH,"SEC 10-K: Key competitors in North America include AutoZone, Inc., O'Reilly Auto Parts, Inc., Advance Auto Par",자동차 부품 유통,False,COMPETES_WITH,pending,pending,False,True,0.2,True,B_individual
GPN↔TPR,COMPETES_WITH,"SEC 10-K: In the United States, we compete with a large number of providers, including but not limited to Fise",,False,,pending,pending,False,True,0.0,True,B_individual
GPN↔XYZ,COMPETES_WITH,"SEC 10-K: In the United States, we compete with a large number of providers, including but not limited to Fise",,False,,pending,pending,False,True,0.0,True,B_individual
HPE↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.8,True,B_individual
HPQ↔MSFT,COMPETES_WITH,"SEC 10-K: Our primary competitors are Acer Inc., Apple Inc., ASUSTeK Computer Inc., Dell Inc., Huawei Technolo",,False,PARTNER_WITH,pending,pending,False,True,0.0,True,B_individual
IBM↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True,B_individual
IEX↔IR,COMPETES_WITH,"SEC 10-K: Our primary competitors include Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartori",,True,,pending,pending,False,True,1.0,True,B_individual
INCY↔ORCL,COMPETES_WITH,"SEC 10-K: For example, following our acquisition of Cerner Corporation, we also face competition from large he",,False,,pending,pending,True,True,0.0,True,B_individual
INTC↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True,B_individual
IR↔TMO,COMPETES_WITH,"SEC 10-K: Our primary competitors include Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartori",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,B_individual
ISRG↔JNJ,COMPETES_WITH,"SEC 10-K: Companies that have introduced products in the field of robotic-assisted medical procedures, or have",수술용 로봇,True,,pending,pending,False,True,0.9,True,B_individual
ISRG↔MDT,COMPETES_WITH,"SEC 10-K: Companies that have introduced products in the field of robotic-assisted medical procedures, or have",로봇 보조 수술,True,,pending,pending,False,True,0.7,True,B_individual
JCI↔TT,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,False,,pending,pending,False,True,0.0,True,B_individual
JCI↔VRT,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,B_individual
JPM↔SYF,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 서비스,True,,pending,pending,True,True,0.3,True,B_individual
KO↔PEP,COMPETES_WITH,"SEC 10-K: In many countries in which our products are sold, including the United States, The Coca-Cola Company",음료 시장,True,,pending,pending,False,True,0.9,True,B_individual
MSFT↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,1.0,True,B_individual
MSFT↔WDAY,COMPETES_WITH,"SEC 10-K: These vendors include, without limitation, Anaplan, Inc.; ADP; Coupa Software Inc.; Dayforce, Inc.; ",,False,,pending,pending,False,True,0.0,True,B_individual
MTB↔SYF,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 서비스,True,,pending,pending,True,True,0.3,True,B_individual
MU↔SNDK,COMPETES_WITH,SEC 10-K: We face intense competition in the semiconductor memory and storage markets from a number of compani,반도체 메모리,True,,pending,pending,False,True,1.0,True,B_individual
NOW↔WDAY,COMPETES_WITH,"SEC 10-K: These vendors include, without limitation, Anaplan, Inc.; ADP; Coupa Software Inc.; Dayforce, Inc.; ",,False,,pending,pending,False,True,0.0,True,B_individual
ORCL↔WDAY,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.5,True,B_individual
SATS↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.1,True,B_individual
SO↔SO,COMPETES_WITH,SEC 10-K: Southern Company Gas' natural gas distribution utilities do not compete with other distributors of n,천연가스 유통,False,COMPETES_WITH,pending,pending,True,True,0.9,True,B_individual
STZ↔TAP,COMPETES_WITH,"SEC 10-K: In the U.S. and Canada, we compete most directly with Anheuser-Busch InBev SA/NV (""ABI"") and Constel",맥주 시장,True,,pending,pending,False,True,0.95,True,B_individual
SYF↔WFC,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 파트너십,True,,pending,pending,False,True,0.6,True,B_individual
TMUS↔VZ,COMPETES_WITH,"SEC 10-K: Our wireless communications services competitors include other carriers, such as AT&T Inc. (“AT&T”) ",무선 통신 서비스,True,,pending,pending,True,True,0.6,True,B_individual
ADI↔TSM,DEPENDS_ON,"SEC 10-K: Additionally, more than half of the Company’s purchases of external wafer and foundry services are f",반도체 파운드리 서비스,True,,pending,pending,True,True,0.5,True,B_individual
AMGN↔HCA,DEPENDS_ON,"SEC 10-K: In 2024, Change Healthcare, a large U.S. insurance claim and co-pay card processing clearinghouse, e",,False,DEPENDS_ON,pending,pending,True,True,0.0,True,B_individual
CCI↔EQT,DEPENDS_ON,SEC 10-K: The restrictions and requirements imposed on our business and operations pursuant to certain covenan,,False,,pending,pending,False,True,0.0,True,B_individual
CI↔HCA,DEPENDS_ON,"SEC 10-K: For example, Change Healthcare, a health technology company owned by UnitedHealth Group and a servic",,False,DEPENDS_ON,pending,pending,True,True,0.0,True,B_individual
CSGP↔GOOGL,DEPENDS_ON,"SEC 10-K: For example, starting on July 1, 2024, Universal Analytics (UA), Google’s legacy analytics platform ",웹 분석 플랫폼,False,,pending,pending,True,True,0.0,True,B_individual
DLR↔DLR,DEPENDS_ON,"SEC 10-K: As the sole general partner of our Operating Partnership, our Parent has the full, exclusive and com",,True,,pending,pending,False,True,0.9,True,B_individual
FTNT↔AMD,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",CPU,True,,pending,pending,False,True,0.8,True,B_individual
FTNT↔AVGO,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",중앙처리장치(CPU),True,,pending,pending,False,True,0.7,True,B_individual
FTNT↔DIS,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",,False,,pending,pending,False,True,0.0,True,B_individual
FTNT↔INTC,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",CPU,True,,pending,pending,False,True,0.9,True,B_individual
FTNT↔MU,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",,False,DEPENDS_ON,pending,pending,False,True,0.0,True,B_individual
FTNT↔QCOM,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",중앙처리장치,True,,pending,pending,False,True,0.6,True,B_individual
GDDY↔META,DEPENDS_ON,SEC 10-K: Our customers and their businesses rely heavily on tools and solutions that help them manage and gro,,False,COMPETES_WITH,pending,pending,False,True,0.1,True,B_individual
GDDY↔MSFT,DEPENDS_ON,"SEC 10-K: We rely on certain relationships with partners to offer and support key products and services, some ",,True,,pending,pending,False,True,0.3,True,B_individual
GPN↔USB,DEPENDS_ON,"SEC 10-K: Elavon, Inc., a subsidiary of U.S. Bancorp",금융 서비스,False,COMPETES_WITH,pending,pending,True,True,0.3,True,B_individual
GS↔GS,DEPENDS_ON,SEC 10-K: Goldman Sachs Asset Management BV is subject to similar requirements as a management company license,자산 관리,False,,pending,pending,True,True,0.7,True,B_individual
ORCL↔CVX,DEPENDS_ON,"SEC 10-K: For example, following our acquisition of Cerner Corporation, we also face competition from large he",,False,COMPETES_WITH,pending,pending,True,False,0.0,True,B_individual
PCAR↔LII,DEPENDS_ON,"SEC 10-K: A loss of supply from Cummins, Eaton, ZF or Magna, and the resulting interruption in the production ",,False,DEPENDS_ON,pending,pending,False,True,0.0,True,B_individual
SMCI↔ALGN,DEPENDS_ON,SEC 10-K: Ablecom also coordinates the manufacturing of chassis for us.,,False,,pending,pending,False,True,0.0,True,B_individual
WAT↔CI,DEPENDS_ON,SEC 10-K: including tariffs and export restrictions on certain manufacturing components imposed by China,,False,DEPENDS_ON,pending,pending,False,True,0.0,True,B_individual
AKAM↔APTV,PARTNER_WITH,SEC 10-K: We market and sell our solutions globally through our field sales and services organization and thro,,False,PARTNER_WITH,pending,pending,False,True,0.0,True,B_individual
AKAM↔MSFT,PARTNER_WITH,SEC 10-K: We market and sell our solutions globally through our field sales and services organization and thro,,False,PARTNER_WITH,pending,pending,False,True,0.0,True,B_individual
ANET↔AVGO,PARTNER_WITH,"SEC 10-K: Our product development efforts also depend upon continued collaboration with our key suppliers, suc",,False,DEPENDS_ON,pending,pending,False,True,0.3,True,B_individual
BKR↔NXT,PARTNER_WITH,"SEC 10-K: Over the past several years, we have made progress in strategic investments and acquisitions in emer",,False,PARTNER_WITH,pending,pending,False,True,0.0,True,B_individual
BKR↔VLO,PARTNER_WITH,"SEC 10-K: Over the past several years, we have made progress in strategic investments and acquisitions in emer",,False,PARTNER_WITH,pending,pending,False,True,0.0,True,B_individual
BLK↔HPQ,PARTNER_WITH,"SEC 10-K: BlackRock recorded approximately $3.0 billion of indefinite-lived management contracts, $2.7 billion",,False,PARTNER_WITH,pending,pending,False,True,0.0,True,B_individual
CAH↔IONQ,PARTNER_WITH,SEC 10-K: The performance of our MSO platforms positively impacted the year-over-year comparison of Pharma seg,,False,COMPETES_WITH,pending,pending,False,True,0.0,True,B_individual
CRWD↔AMZN,PARTNER_WITH,"SEC 10-K: To further meet the compliance demands of the government, customers can elect to deploy the Falcon p",,False,,pending,pending,False,True,0.0,True,B_individual
DAL↔AXP,PARTNER_WITH,"SEC 10-K: This is primarily composed of revenues related to lounge access, including access provided to certai",공항 라운지 서비스,True,,pending,pending,False,True,0.8,True,B_individual
DLR↔DLR,PARTNER_WITH,"SEC 10-K: Digital Realty Trust, Inc. (the Parent), through its controlling interest in Digital Realty Trust, L",,False,DEPENDS_ON,pending,pending,True,True,0.9,True,B_individual
EA↔MSFT,PARTNER_WITH,"SEC 10-K: Addendum to Xbox Console Publisher License Agreement, effective as of July 1, 2024, between Microsof",비디오 게임,True,,pending,pending,False,True,0.9,True,B_individual
EQT↔XEL,PARTNER_WITH,"SEC 10-K: Prior to that he served as Senior Director, Technical Accounting and Financial Reporting at Rice Ene",,False,,pending,pending,False,True,0.0,True,B_individual
FTNT↔AMZN,PARTNER_WITH,"SEC 10-K: Depending on the solution or form factor purchased, customers may also access our products via the c",,False,PARTNER_WITH,pending,pending,False,True,0.1,True,B_individual
GDDY↔AMZN,PARTNER_WITH,"SEC 10-K: We also work to make certain of our products interoperable with services such as Yelp, Google, Amazo",서비스 연동,True,,pending,pending,False,True,0.9,True,B_individual
GDDY↔META,PARTNER_WITH,"SEC 10-K: We also work to make certain of our products interoperable with services such as Yelp, Google, Amazo",,False,PARTNER_WITH,pending,pending,False,True,0.0,True,B_individual
GDDY↔XYZ,PARTNER_WITH,"SEC 10-K: we provide various payment options for customers, including through our partnerships and technical i",결제 서비스,True,,pending,pending,False,True,0.3,True,B_individual
HCA↔HCA,PARTNER_WITH,"SEC 10-K: The terms “HCA,” “Company,” “we,” “our,” or “us,” as used herein, refer to HCA Healthcare, Inc. and ",,False,PARTNER_WITH,pending,pending,True,True,0.0,True,B_individual
INCY↔REGN,PARTNER_WITH,"SEC 10-K: in 2022 and 2023, we decided to terminate our collaborations with Calithera Biosciences, Inc. and Sy",,False,PARTNER_WITH,pending,pending,False,True,0.0,True,B_individual
KDP↔KO,PARTNER_WITH,"SEC 10-K: These bottlers may be affiliated with Coca-Cola or with PepsiCo, or they may be independent.",,False,COMPETES_WITH,pending,pending,True,True,0.0,True,B_individual
KDP↔PEP,PARTNER_WITH,"SEC 10-K: These bottlers may be affiliated with Coca-Cola or with PepsiCo, or they may be independent.",,False,COMPETES_WITH,pending,pending,True,True,0.0,True,B_individual
LEN↔INVH,PARTNER_WITH,"SEC 10-K: In April 2024, Upward America entered into a joint venture agreement and property management agreeme",단독 주택 임대,True,,pending,pending,False,True,0.9,True,B_individual
MCK↔APO,PARTNER_WITH,"SEC 10-K: on April 20, 2026, we announced a definitive agreement under which funds managed by affiliates of Ap",,True,,pending,pending,False,True,0.8,True,B_individual
MCK↔WMT,PARTNER_WITH,SEC 10-K: We also source generic pharmaceutical drugs through our ClarusONE Sourcing Services LLP joint ventur,제네릭 의약품,True,,pending,pending,False,True,0.9,True,B_individual
