symbol_pair,relation_type,basis,draft_domain,type_match,suggested_type,gate_class,review_status,target_in_basis,type_signature_ok,confidence,json_ok,gate_class_v2,review_status_v2,self_contradiction,is_enumeration,symbol_boundary_ok,normalized_tag,summary_ko,summary_flags,full_evidence,source_line,roles_ko,decision_hint
AMZN↔TTD,COMPETES_WITH,"SEC 10-K: We compete with other demand-side platform providers, some of which are smaller, privately held comp",수요측 플랫폼,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,수요측 플랫폼,"자사(We)는 Google 및 Amazon과 같은 대형 기업의 사업부를 포함한 다른 수요측 플랫폼 제공업체들과 경쟁하고 있습니다. 자사는 주로 플랫폼 성능, 기능, 투명성 및 매수측(buy side)에 대한 집중을 기반으로 경쟁한다고 믿습니다.",target_absent|truncated,"We compete with other demand-side platform providers, some of which are smaller, privately held companies and others are divisions of large, well-established companies such as Google and Amazon. We believe that we compete primarily based on the performance, capabilities and transparency of our platform as well as our focus on the buy side.",TTD 10-K FY2025 · Item 1 사업,"TTD는 자사(We)이며, AMZN은 TTD의 경쟁 상대인 대형 기업 중 하나로 언급됩니다.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
ANET↔AVGO,COMPETES_WITH,"SEC 10-K: For example, Broadcom has acquired VMware, Hewlett Packard Enterprise has acquired Juniper Networks ",,False,COMPETES_WITH,pending,pending,True,True,0.0,True,noise_self_contradiction,pending,True,True,False,,"Broadcom이 VMware를 인수한 사례 등이 언급되며, 이러한 인수 및 전략적 투자가 구매 결정에 영향을 미칠 수 있다고 설명합니다. AI 네트워킹의 부상과 함께 새로운 경쟁 기술들이 시장에 진입할 수 있습니다.",list|m&a|truncated,"For example, Broadcom has acquired VMware, Hewlett Packard Enterprise has acquired Juniper Networks and Nvidia has made significant investments in several AI Neoclouds. We often see that these types of acquisitions and strategic investments are used to influence buying decisions rather than allowing for the selection of a best-of-breed vendor.
With the emergence of AI networking, new competitive technologies may enter the market to address the requirements of AI clusters.",ANET 10-K FY2025 · Item 1 사업,ANET 미등장. AVGO(Broadcom)는 VMware를 인수한 회사로 언급됩니다.,업계 M&A 나열 — 두 종목 직접 관계 서술인지 확인
ANET↔HPE,COMPETES_WITH,"SEC 10-K: competition also coming from other large network equipment and system vendors, including Dell/EMC, E",네트워크 장비 및 시스템,True,,pending,pending,False,True,0.7,True,pending,pending,False,False,False,통신·네트워크,"클라우드 및 AI 네트워킹 시장 확대에 따라 미래에 경쟁이 심화될 것으로 예상됩니다. 데이터 센터 및 캠퍼스 네트워킹 시장은 과거 Cisco가 지배적이었으며, Dell/EMC, Extreme Networks, Hewlett Packard Enterprise(HPE) 등 다른 대형 네트워크 장비 및 시스템 공급업체들도 경쟁사로 존재합니다.",target_absent|truncated,"We expect competition to intensify in the future as the market for cloud and AI networking expands and existing competitors and new market entrants introduce new products or enhance existing products.
The data center and campus networking markets have historically been dominated by Cisco, with competition also coming from other large network equipment and system vendors, including Dell/EMC, Extreme Networks, Hewlett Packard Enterprise, Huawei, Juniper Networks, Nvidia, and white box networking vendors that utilize open-source operating systems. Most of our competitors and some strategic alliance partners have made acquisitions and/or have entered into or extended partnerships or other strategic relationships to offer more comprehensive product lines, including cloud networking solutions.",ANET 10-K FY2025 · Item 1 사업,"ANET(We)는 미래에 경쟁이 심화될 것으로 예상하며, HPE(Hewlett Packard Enterprise)는 ANET의 경쟁 업체 중 하나로 언급됩니다.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
ANET↔NVDA,COMPETES_WITH,"SEC 10-K: competition also coming from other large network equipment and system vendors, including Dell/EMC, E",네트워크 장비,True,,pending,pending,False,True,0.4,True,pending,pending,False,False,False,통신·네트워크,"클라우드 및 AI 네트워킹 시장 확대에 따라 미래에 경쟁이 심화될 것으로 예상됩니다. 데이터 센터 및 캠퍼스 네트워킹 시장은 과거 Cisco가 지배적이었으며, Nvidia(NVDA) 등 다른 대형 네트워크 장비 및 시스템 공급업체들도 경쟁사로 존재합니다.",target_absent|truncated,"We expect competition to intensify in the future as the market for cloud and AI networking expands and existing competitors and new market entrants introduce new products or enhance existing products.
The data center and campus networking markets have historically been dominated by Cisco, with competition also coming from other large network equipment and system vendors, including Dell/EMC, Extreme Networks, Hewlett Packard Enterprise, Huawei, Juniper Networks, Nvidia, and white box networking vendors that utilize open-source operating systems. Most of our competitors and some strategic alliance partners have made acquisitions and/or have entered into or extended partnerships or other strategic relationships to offer more comprehensive product lines, including cloud networking solutions.",ANET 10-K FY2025 · Item 1 사업,"ANET(We)는 미래에 경쟁이 심화될 것으로 예상하며, NVDA(Nvidia)는 ANET의 경쟁 업체 중 하나로 언급됩니다.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
AOS↔PNR,COMPETES_WITH,"SEC 10-K: Our principal water treatment competitors in the U.S. are Culligan, Kinetico, Pentair, Franklin Elec",수처리,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,에너지·유전·수처리,"미국의 주요 수처리 경쟁사로는 Culligan, Kinetico, Pentair(PNR), Franklin Electric 및 Ecowater를 비롯한 다수의 지역 조립업체가 있습니다. 자사의 Rest of World 부문 매출은 2025년 전체 매출의 약 22%를 차지했으며, 대부분 중국에서 발생했습니다.",list|truncated,"Our principal water treatment competitors in the U.S. are Culligan, Kinetico, Pentair, Franklin Electric and Ecowater as well as numerous regional assemblers. 
REST OF WORLD 
Sales in our Rest of World segment accounted for approximately 22 percent of our total sales in 2025, a majority of which were in China.",AOS 10-K FY2025 · Item 1 사업,"AOS(Our)는 미국의 주요 수처리 경쟁사를 나열하며, PNR(Pentair)은 그 경쟁사 중 하나로 언급됩니다.",
APTV↔GRMN,COMPETES_WITH,"SEC 10-K: Garmin believes that its principal competitors for auto OEM products are Alpine Electronics, Aptiv, ",자동차 OEM 제품,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,자동차·부품·산업재,"Garmin(GRMN)은 자동차 OEM 제품의 주요 경쟁사로 Alpine Electronics, Aptiv(APTV), Bosch 등을 꼽습니다. Garmin의 제품 혁신은 연구 개발에 대한 강한 강조와 엔지니어링 및 제조 팀 간의 긴밀한 협력에서 비롯됩니다.",truncated,"Garmin believes that its principal competitors for auto OEM products are Alpine Electronics, Aptiv, Bosch, Continental, Harman (Samsung), LG, Panasonic, and Visteon.
 
 
Research and Development
 
Garmin’s product innovations are driven by its strong emphasis on research and development and the close partnership between Garmin’s engineering and manufacturing teams. Garmin’s products are created by its engineering and development staff.",GRMN 10-K FY2025 · Item 1 사업,APTV(Aptiv)는 GRMN(Garmin)이 자사의 자동차 OEM 제품의 주요 경쟁사 중 하나로 인식하는 회사입니다.,
AVY↔INTC,COMPETES_WITH,"SEC 10-K: Fedrigoni Self-Adhesives; Lintec Corporation; Flexcon Corporation, Inc.; and an array of smaller reg",,False,COMPETES_WITH,pending,pending,True,True,0.0,True,noise_self_contradiction,pending,True,True,False,,"기계식 패스너는 주로 다양한 자동차, 일반 산업 및 소매 응용 분야에 사용되는 정밀 압출 및 사출 성형 플라스틱 장치입니다. 자사의 라벨 재료 부문 주요 경쟁사로는 UPM Adhesive Materials 등이 있으며, 그래픽 및 반사 제품의 가장 큰 경쟁사는 3M Company와 Orafol Group입니다.",list|truncated,"The mechanical fasteners are primarily precision-extruded and injection-molded plastic devices used in various automotive, general industrial and retail applications.
Our larger competitors in label materials include UPM Adhesive Materials, a subsidiary of UPM Corporation; Fedrigoni Self-Adhesives; Lintec Corporation; Flexcon Corporation, Inc.; and an array of smaller regional and local companies. For graphics and reflective products, our largest competitors are 3M Company (“3M”) and the Orafol Group.",AVY 10-K FY2025 · Item 1 사업,"AVY(Our)는 자사의 경쟁사를 언급하고 있으며, INTC 미등장.",
AVY↔MMM,COMPETES_WITH,"SEC 10-K: For graphics and reflective products, our largest competitors are 3M Company (“3M”) and the Orafol G",그래픽·반사 제품,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,기타,"그래픽 및 반사 제품 분야에서 자사(Our)의 가장 큰 경쟁사는 3M Company(MMM)와 Orafol Group입니다. 고성능 테이프 제품 분야에서는 3M(MMM), Tesa-SE 등이 경쟁사로 언급됩니다.",truncated,"For graphics and reflective products, our largest competitors are 3M Company (“3M”) and the Orafol Group. For performance tapes products, our competitors include 3M; Tesa-SE, a subsidiary of Beiersdorf AG; Nitto Denko Corporation; and numerous regional and specialty suppliers.",AVY 10-K FY2025 · Item 1 사업,"AVY(Our)는 자사의 그래픽 및 반사 제품, 고성능 테이프 제품 분야의 경쟁사로 MMM(3M Company)을 언급합니다.",
AVY↔PPL,COMPETES_WITH,"SEC 10-K: Our larger competitors in label materials include UPM Adhesive Materials, a subsidiary of UPM Corpor",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,False,False,,"기계식 패스너는 주로 다양한 자동차, 일반 산업 및 소매 응용 분야에 사용되는 정밀 압출 및 사출 성형 플라스틱 장치입니다. 자사의 라벨 재료 부문 주요 경쟁사로는 UPM Adhesive Materials 등이 있으며, 그래픽 및 반사 제품의 가장 큰 경쟁사는 3M Company와 Orafol Group입니다.",target_absent|truncated,"The mechanical fasteners are primarily precision-extruded and injection-molded plastic devices used in various automotive, general industrial and retail applications.
Our larger competitors in label materials include UPM Adhesive Materials, a subsidiary of UPM Corporation; Fedrigoni Self-Adhesives; Lintec Corporation; Flexcon Corporation, Inc.; and an array of smaller regional and local companies. For graphics and reflective products, our largest competitors are 3M Company (“3M”) and the Orafol Group.",AVY 10-K FY2025 · Item 1 사업,"AVY(Our)는 자사의 경쟁사를 언급하고 있으며, PPL 미등장.",근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
AXP↔MA,COMPETES_WITH,"SEC 10-K: We compete worldwide with payments networks such as Visa, American Express, JCB, China UnionPay and ",결제 네트워크,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,금융·결제·거래소,"자사(We)는 종이 기반 및 모든 형태의 전자 결제를 포함한 모든 결제 범주에서 경쟁하며, 서비스 및 솔루션을 제공하는 모든 범주에서도 경쟁합니다. 일반 목적 결제 네트워크 분야에서는 Visa, American Express(AXP), JCB, China UnionPay, Discover 등과 전 세계적으로 경쟁합니다.",list|target_absent|truncated,"We compete in all categories of payments (including paper-based payments and all forms of electronic payments) as well as in all categories in which we provide services and solutions:
•
General Purpose Payments Networks.
 We compete worldwide with payments networks such as Visa, American Express, JCB, China UnionPay and Discover, among others. These competitors tend to offer a range of card-based payment products.",MA 10-K FY2025 · Item 1 사업,AXP(American Express)는 자사(We)가 전 세계적으로 경쟁하는 결제 네트워크 중 하나로 언급됩니다. MA 미등장.,근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
AXP↔SYF,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 서비스,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,금융·결제·거래소,"문장에서는 SYF(화자)의 주요 경쟁자들이 언급되며, 이들은 주요 금융 기관, 핀테크 기업, POS 대출 전문 기업 및 잠재 파트너의 자체 금융 역량을 포함합니다. 일부 경쟁사들은 SYF보다 규모가 상당히 커서 다양한 이점을 가질 수 있습니다.",truncated,"Our primary competitors for partners include major financial institutions, such as American Express, Bread Financial, Capital One/Discover, JPMorgan Chase, Citibank, TD Bank and Wells Fargo, as well as, financial technology companies, point-of-sale lending focused companies, and potential partners’ own in-house financing capabilities. Some of our competitors are substantially larger than we are, which may give those competitors advantages, including a more diversified product and customer base, the ability to reach out to more customers and potential customers, operational efficiencies, more versatile technology platforms, broad-based local distribution capabilities and lower-cost funding.",SYF 10-K FY2025 · Item 7 MD&A,"AXP는 SYF의 주요 경쟁사 중 하나로 등장합니다. SYF는 ""Our primary competitors"" 문맥상 화자로 등장합니다.",
AZO↔GPC,COMPETES_WITH,"SEC 10-K: Key competitors in North America include AutoZone, Inc., O'Reilly Auto Parts, Inc., Advance Auto Par",자동차 부품 유통,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,자동차·부품·산업재,"문장에서는 북미 시장의 주요 경쟁사로 AutoZone, O'Reilly Auto Parts 등이 언급되며, 국제적으로는 LKQ Corporation과 Bapcor 등이 경쟁사로 등장합니다.",list|truncated,"Key competitors in North America include AutoZone, Inc., O'Reilly Auto Parts, Inc., Advance Auto Parts, Inc., and LKQ Corporation, among others. Internationally, competitors include LKQ Corporation, which has a strong presence in Europe, and Bapcor in Australasia, among many others.",GPC 10-K FY2025 · Item 1 사업,"AZO는 북미 지역의 주요 경쟁사 중 하나로 등장합니다. GPC는 ""Key competitors"" 문맥상 화자로 등장합니다.",
BAX↔COO,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,,pending,pending,True,True,0.0,True,pending,pending,False,True,False,,"문장에서는 Johnson & Johnson, Baxter International, Medtronic, Hologic과 같은 대기업들이 화자의 의료기기 제품과 경쟁하는 제품을 제공한다고 언급합니다. 또한, 줄기세포 저장 분야에서는 주로 Revvity의 ViaCord와 경쟁한다고 명시합니다.",list|truncated,"Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerings that compete with our medical device products. In the stem cell storage field, we compete primarily with ViaCord, a division of Revvity, in the United States, as well as other smaller companies with limited product offerings globally.",COO 10-K FY2025 · Item 1 사업,"BAX는 화자의 의료기기 제품과 경쟁하는 대기업 중 하나로 등장합니다. COO는 ""our medical device products"" 및 ""we compete"" 문맥상 화자로 등장합니다.",
BKNG↔EXPE,COMPETES_WITH,"SEC 10-K: Competitive entrants such as “metasearch” companies, including Kayak.com (owned by Booking Holdings)",메타 검색,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,미디어·스트리밍·검색,"문장은 Kayak.com(Booking Holdings 소유)과 trivago(Expedia Group이 대다수 지분 소유)를 포함한 메타서치 기업들이 기존 온라인 여행사들과 차별화된 기능, 가격, 콘텐츠를 도입했다고 설명합니다. 또한, 항공사와 숙박업체들이 자사 제품 및 서비스의 직접 온라인 유통을 적극적으로 추구하고 있다고 언급합니다.",m&a|target_absent,"Competitive entrants such as “metasearch” companies, including Kayak.com (owned by Booking Holdings), trivago (in which Expedia Group owns a majority interest) as well as TripAdvisor, introduced differentiated features, pricing and content compared with the legacy online travel agency companies, as well as various forms of direct or assisted booking tools. Further, airlines and lodging companies are aggressively pursuing direct online distribution of their products and services.",EXPE 10-K FY2025 · Item 7 MD&A,BKNG는 Kayak.com의 소유주로 등장합니다. EXPE는 trivago의 대다수 지분을 소유한 기업으로 등장합니다.,근거 문장에 상대 종목 미등장 — 관계 근거로 불충분
