symbol_pair,relation_type,basis,draft_domain,type_match,suggested_type,gate_class,review_status,target_in_basis,type_signature_ok,confidence,json_ok,gate_class_v2,review_status_v2,self_contradiction,is_enumeration,symbol_boundary_ok,normalized_tag
ANET↔HPE,COMPETES_WITH,"SEC 10-K: competition also coming from other large network equipment and system vendors, including Dell/EMC, E",네트워크 장비 및 시스템,True,,pending,pending,False,True,0.7,True,pending,pending,False,False,False,통신·네트워크
ANET↔NVDA,COMPETES_WITH,"SEC 10-K: competition also coming from other large network equipment and system vendors, including Dell/EMC, E",네트워크 장비,True,,pending,pending,False,True,0.4,True,pending,pending,False,False,False,통신·네트워크
AOS↔PNR,COMPETES_WITH,"SEC 10-K: Our principal water treatment competitors in the U.S. are Culligan, Kinetico, Pentair, Franklin Elec",수처리,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,에너지·유전·수처리
APTV↔GRMN,COMPETES_WITH,"SEC 10-K: Garmin believes that its principal competitors for auto OEM products are Alpine Electronics, Aptiv, ",자동차 OEM 제품,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,자동차·부품·산업재
AVY↔INTC,COMPETES_WITH,"SEC 10-K: Fedrigoni Self-Adhesives; Lintec Corporation; Flexcon Corporation, Inc.; and an array of smaller reg",,False,COMPETES_WITH,pending,pending,True,True,0.0,True,noise_self_contradiction,pending,True,True,False,
AVY↔MMM,COMPETES_WITH,"SEC 10-K: For graphics and reflective products, our largest competitors are 3M Company (“3M”) and the Orafol G",그래픽·반사 제품,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,기타
AVY↔PPL,COMPETES_WITH,"SEC 10-K: Our larger competitors in label materials include UPM Adhesive Materials, a subsidiary of UPM Corpor",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,False,False,
AXP↔MA,COMPETES_WITH,"SEC 10-K: We compete worldwide with payments networks such as Visa, American Express, JCB, China UnionPay and ",결제 네트워크,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,금융·결제·거래소
AXP↔SYF,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 서비스,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,금융·결제·거래소
AZO↔GPC,COMPETES_WITH,"SEC 10-K: Key competitors in North America include AutoZone, Inc., O'Reilly Auto Parts, Inc., Advance Auto Par",자동차 부품 유통,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,자동차·부품·산업재
BAX↔COO,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,,pending,pending,True,True,0.0,True,pending,pending,False,True,False,
BKNG↔EXPE,COMPETES_WITH,"SEC 10-K: Competitive entrants such as “metasearch” companies, including Kayak.com (owned by Booking Holdings)",메타 검색,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,미디어·스트리밍·검색
BKNG↔GOOGL,COMPETES_WITH,"SEC 10-K: For example, Google links travel search to its dominant search engine and has integrated travel prod",여행 검색,True,,auto_candidate,pending,True,True,0.9,True,auto_candidate,pending,False,False,False,여행·숙박·크루즈
BKR↔CAT,COMPETES_WITH,"SEC 10-K: An additional set of competitors, including Aggreko plc, Generac Holdings Inc., Discovery Energy, LL",,False,,pending,pending,False,True,0.0,True,pending,pending,False,True,False,
BKR↔HAL,COMPETES_WITH,"SEC 10-K: OFSE competitors include SLB, Halliburton, NOV, Weatherford, and TechnipFMC.",유전 서비스·장비,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,자동차·부품·산업재
BKR↔SLB,COMPETES_WITH,"SEC 10-K: OFSE competitors include SLB, Halliburton, NOV, Weatherford, and TechnipFMC.",유전 서비스·장비,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,True,자동차·부품·산업재
BLK↔MSCI,COMPETES_WITH,"SEC 10-K: Certain of our clients are also significant shareholders, competitors or distributors of our content",,True,,pending,pending,False,True,0.2,True,pending,pending,False,False,False,
CAH↔COR,COMPETES_WITH,"SEC 10-K: In the Pharma segment, we compete with wholesale distributors with national reach, including McKesso",제약 도매 유통,True,,pending,pending,False,True,0.5,True,pending,pending,False,False,False,헬스케어·의료기기·제약
CAH↔MCK,COMPETES_WITH,"SEC 10-K: Certain competitors also offer combinations of distribution, GPO, and provider services capabilities",의료 유통,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,헬스케어·의료기기·제약
CARR↔JCI,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,False,COMPETES_WITH,pending,pending,True,True,0.1,True,noise_self_contradiction,pending,True,True,False,
CAT↔CMI,COMPETES_WITH,"SEC 10-K: Principal global competitors include Cummins Inc., Deutz AG, Rolls-Royce Power Systems AG and Siemen",,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,
CAT↔GEV,COMPETES_WITH,"SEC 10-K: Other competitors, such as Volvo Penta AB, FPT Industrial SpA (Iveco Group), INNIO Group, GE Vernova",,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,
CAT↔GNRC,COMPETES_WITH,"SEC 10-K: An additional set of competitors, including Aggreko plc, Generac Holdings Inc., Discovery Energy, LL",,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,
CAT↔WAB,COMPETES_WITH,"SEC 10-K: Our primary competition for locomotives is Progress Rail, owned by a subsidiary of Caterpillar.",기관차,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,기관차
CBOE↔CME,COMPETES_WITH,"SEC 10-K: Our competitors include, among other entities, exchanges such as Intercontinental Exchange, Inc. (IC",금융 거래소,True,,pending,pending,False,True,0.9,True,pending,pending,False,True,False,금융·결제·거래소
CCL↔NCLH,COMPETES_WITH,"SEC 10-K: Based on 2025 Cruise Industry News statistics, as of December 31, 2025, we, along with our principal",크루즈 산업,True,,pending,pending,True,True,0.3,True,pending,pending,False,False,False,여행·숙박·크루즈
CCL↔RCL,COMPETES_WITH,"SEC 10-K: Based on 2025 Cruise Industry News statistics, as of December 31, 2025, we, along with our principal",크루즈 산업,True,,pending,pending,False,True,0.4,True,pending,pending,False,False,False,여행·숙박·크루즈
CDNS↔CTVA,COMPETES_WITH,"SEC 10-K: U.S.-based competitors include Keysight Technologies, Inc., Schrödinger, Inc., and CEVA, Inc., while",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,True,False,
CDNS↔KEYS,COMPETES_WITH,"SEC 10-K: U.S.-based competitors include Keysight Technologies, Inc., Schrödinger, Inc., and CEVA, Inc., while",,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,
CDNS↔SNPS,COMPETES_WITH,"SEC 10-K: Key competitors include Synopsys, Inc., Ansys, Inc. (acquired by Synopsys), Siemens EDA, and a varie",전자 설계 자동화 (EDA),True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,전자 설계 자동화 (EDA)
CHTR↔T,COMPETES_WITH,"SEC 10-K: Our mobile service faces competition from national mobile network operators (“MNOs”) including AT&T,",모바일 서비스,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,True,기타
CHTR↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,통신·네트워크
CI↔GEHC,COMPETES_WITH,"SEC 10-K: However, we continue to monitor developments in the China market, including increased competition fr",,True,,pending,pending,False,True,0.3,True,pending,pending,False,False,False,
CMCSA↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.2,True,pending,pending,False,False,False,통신·네트워크
CME↔ICE,COMPETES_WITH,"SEC 10-K: Our competitors include, among other entities, exchanges such as Intercontinental Exchange, Inc. (IC",금융 거래소,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,금융·결제·거래소
CME↔MSCI,COMPETES_WITH,SEC 10-K: Among our Index competitors are S&P Dow Jones Indices LLC (a joint venture of S&P Global Inc. and CM,인덱스 서비스,True,,pending,pending,False,True,0.95,True,pending,pending,False,False,False,금융·결제·거래소
COO↔HOLX,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,COMPETES_WITH,pending,pending,True,True,0.05,True,noise_self_contradiction,pending,True,True,False,
COO↔JNJ,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,True,,auto_candidate,pending,True,True,0.9,True,auto_candidate,pending,False,True,False,
COO↔MDT,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,,pending,pending,True,True,0.0,True,pending,pending,False,True,False,
COO↔RVTY,COMPETES_WITH,"SEC 10-K: In the stem cell storage field, we compete primarily with ViaCord, a division of Revvity, in the Uni",줄기세포 보관,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,줄기세포 보관
COR↔MCK,COMPETES_WITH,"SEC 10-K: Certain competitors also offer combinations of distribution, GPO, and provider services capabilities",유통,True,,pending,pending,False,True,0.85,True,pending,pending,False,False,False,기타
COST↔TGT,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",종합 상품 소매,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,소매·소비재
COST↔WMT,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",종합 소매,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,소매·소비재
CRM↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",기업 클라우드,True,,pending,pending,False,True,0.6,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW
CSCO↔DDOG,COMPETES_WITH,"SEC 10-K: With respect to APM, we compete with companies including Cisco Systems, Inc., New Relic, Inc. and Dy",애플리케이션 성능 모니터링,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,기타
CSCO↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW
CSX↔NSC,COMPETES_WITH,"SEC 10-K: CSXT’s primary rail competitor is Norfolk Southern Railway, which operates throughout much of the Co",철도,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,철도
CVNA↔TSLA,COMPETES_WITH,"SEC 10-K: For example, rapid changes in technology, including rideshare services and the development of autono",자율주행 기술,False,COMPETES_WITH,pending,pending,False,True,0.1,True,noise_self_contradiction,pending,True,False,False,자율주행 기술
DAY↔WDAY,COMPETES_WITH,"SEC 10-K: These vendors include, without limitation, Anaplan, Inc.; ADP; Coupa Software Inc.; Dayforce, Inc.; ",,False,SUPPLIES_TO,pending,pending,False,True,0.1,True,pending,pending,False,True,False,
DDOG↔MSFT,COMPETES_WITH,"SEC 10-K: With respect to on-premise infrastructure monitoring, we compete with diversified technology compani",온프레미스 인프라 모니터링,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,기타
DDOG↔SNDK,COMPETES_WITH,"SEC 10-K: With respect to on-premise infrastructure monitoring, we compete with diversified technology compani",,False,,pending,pending,False,True,0.0,True,pending,pending,False,False,False,
DG↔DLTR,COMPETES_WITH,"SEC 10-K: Our primary direct competitors are Walmart, Family Dollar and Dollar Tree.",소매업,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,소매·소비재
DG↔WMT,COMPETES_WITH,"SEC 10-K: Our primary direct competitors are Walmart, Family Dollar and Dollar Tree.",할인 소매,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,소매·소비재
DIS↔FOXA,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",스트리밍 서비스,True,,pending,pending,False,True,0.7,True,pending,pending,False,True,False,미디어·스트리밍·검색
DOV↔IR,COMPETES_WITH,"SEC 10-K: Our primary competitors include Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartori",,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,
DXCM↔MDT,COMPETES_WITH,SEC 10-K: Medtronic plc’s Diabetes Group (which implemented a spinoff of its diabetes business into a separate,당뇨병 관리,False,COMPETES_WITH,pending,pending,True,True,0.1,True,noise_self_contradiction,pending,True,False,False,당뇨병 관리
EBAY↔GOOG,COMPETES_WITH,"SEC 10-K: From time to time, Alphabet has made changes to their algorithms and methodologies that have reduced",,False,DEPENDS_ON,pending,pending,True,True,0.0,True,pending,pending,False,False,False,
EFX↔FICO,COMPETES_WITH,"SEC 10-K: For example, Experian, TransUnion and Equifax have developed a credit scoring product to compete dir",신용 점수 산정 제품,True,,pending,pending,False,True,0.9,True,pending,pending,False,True,False,신용 점수 산정 제품
EXPE↔GOOGL,COMPETES_WITH,"SEC 10-K: In addition to the growth of online travel agencies, we have seen continued interest in the online t",온라인 여행사,False,COMPETES_WITH,pending,pending,False,True,0.2,True,noise_self_contradiction,pending,True,False,False,여행·숙박·크루즈
FAST↔GPC,COMPETES_WITH,"SEC 10-K: In industrial distribution, our main competitor is Applied Industrial Technologies, Inc., but we als",산업 유통,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,True,False,자동차·부품·산업재
FIS↔JKHY,COMPETES_WITH,SEC 10-K: Our core solutions compete with large vendors that provide information and transaction processing so,정보·거래 처리 솔루션,True,,pending,pending,False,True,0.5,True,pending,pending,False,False,False,기타
FISV↔GPN,COMPETES_WITH,"SEC 10-K: Our competitors in this business include, but are not limited to, Fiserv, FIS, Marqeta, Nexi, Worldl",,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,
FISV↔JKHY,COMPETES_WITH,SEC 10-K: Our core solutions compete with large vendors that provide information and transaction processing so,정보 및 거래 처리,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,기타
FOXA↔GOOGL,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",다이렉트 투 컨슈머 스트리밍 서비스,True,,pending,pending,False,True,0.9,True,pending,pending,False,True,False,미디어·스트리밍·검색
FOXA↔NFLX,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",스트리밍 서비스,True,,auto_candidate,pending,True,True,0.8,True,auto_candidate,pending,False,True,False,미디어·스트리밍·검색
GOOG↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.6,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW
GOOGL↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, software and hardware offerings compete directly with certain offerings from s",클라우드 서비스,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW
GOOGL↔SYF,COMPETES_WITH,"SEC 10-K: In addition, some larger technology focused companies, e.g., Apple and Google, and larger retailers ",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,False,False,
GOOGL↔TTD,COMPETES_WITH,"SEC 10-K: We compete with other demand-side platform providers, some of which are smaller, privately held comp",수요측 플랫폼,True,,pending,pending,False,True,0.95,True,pending,pending,False,False,False,수요측 플랫폼
GPC↔GWW,COMPETES_WITH,"SEC 10-K: In industrial distribution, our main competitor is Applied Industrial Technologies, Inc., but we als",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,True,False,
GPC↔LKQ,COMPETES_WITH,"SEC 10-K: Key competitors in North America include AutoZone, Inc., O'Reilly Auto Parts, Inc., Advance Auto Par",자동차 부품 유통,False,COMPETES_WITH,pending,pending,False,True,0.2,True,noise_self_contradiction,pending,True,True,False,자동차·부품·산업재
GPN↔TPR,COMPETES_WITH,"SEC 10-K: In the United States, we compete with a large number of providers, including but not limited to Fise",,False,,pending,pending,False,True,0.0,True,pending,pending,False,False,False,
GPN↔XYZ,COMPETES_WITH,"SEC 10-K: In the United States, we compete with a large number of providers, including but not limited to Fise",,False,,pending,pending,False,True,0.0,True,pending,pending,False,False,False,
HON↔JCI,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,
HPE↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW
HPQ↔MSFT,COMPETES_WITH,"SEC 10-K: Our primary competitors are Acer Inc., Apple Inc., ASUSTeK Computer Inc., Dell Inc., Huawei Technolo",,False,PARTNER_WITH,pending,pending,False,True,0.0,True,pending,pending,False,True,False,
IBM↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW
IEX↔IR,COMPETES_WITH,"SEC 10-K: Our primary competitors include Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartori",,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,
INCY↔ORCL,COMPETES_WITH,"SEC 10-K: For example, following our acquisition of Cerner Corporation, we also face competition from large he",,False,,pending,pending,True,True,0.0,True,pending,pending,False,False,False,
INTC↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW
IR↔TMO,COMPETES_WITH,"SEC 10-K: Our primary competitors include Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartori",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,True,False,
ISRG↔JNJ,COMPETES_WITH,"SEC 10-K: Companies that have introduced products in the field of robotic-assisted medical procedures, or have",수술용 로봇,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,수술용 로봇
ISRG↔MDT,COMPETES_WITH,"SEC 10-K: Companies that have introduced products in the field of robotic-assisted medical procedures, or have",로봇 보조 수술,True,,pending,pending,False,True,0.7,True,pending,pending,False,False,False,로봇 보조 수술
JCI↔TT,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,False,,pending,pending,False,True,0.0,True,pending,pending,False,True,False,
JCI↔VRT,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,True,False,
JPM↔SYF,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 서비스,True,,pending,pending,True,True,0.3,True,pending,pending,False,False,False,금융·결제·거래소
KO↔PEP,COMPETES_WITH,"SEC 10-K: In many countries in which our products are sold, including the United States, The Coca-Cola Company",음료 시장,True,,pending,pending,False,True,0.9,True,pending,pending,False,True,False,음료 시장
MA↔V,COMPETES_WITH,"SEC 10-K: We compete worldwide with payments networks such as Visa, American Express, JCB, China UnionPay and ",결제 네트워크,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,금융·결제·거래소
MSCI↔NDAQ,COMPETES_WITH,SEC 10-K: Among our Index competitors are ... Nasdaq Inc,인덱스 서비스,True,,auto_candidate,pending,True,True,0.95,True,auto_candidate,pending,False,False,False,금융·결제·거래소
MSCI↔SPGI,COMPETES_WITH,SEC 10-K: Among our Index competitors are S&P Dow Jones Indices LLC (a joint venture of S&P Global Inc. and CM,지수 서비스,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,지수 서비스
MSFT↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW
MSFT↔WDAY,COMPETES_WITH,"SEC 10-K: These vendors include, without limitation, Anaplan, Inc.; ADP; Coupa Software Inc.; Dayforce, Inc.; ",,False,,pending,pending,False,True,0.0,True,pending,pending,False,True,False,
MTB↔SYF,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 서비스,True,,pending,pending,True,True,0.3,True,pending,pending,False,False,False,금융·결제·거래소
MU↔SNDK,COMPETES_WITH,SEC 10-K: We face intense competition in the semiconductor memory and storage markets from a number of compani,반도체 메모리,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,반도체·메모리
NOW↔WDAY,COMPETES_WITH,"SEC 10-K: These vendors include, without limitation, Anaplan, Inc.; ADP; Coupa Software Inc.; Dayforce, Inc.; ",,False,,pending,pending,False,True,0.0,True,pending,pending,False,True,False,
ORCL↔WDAY,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.5,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW
SATS↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.1,True,pending,pending,False,False,False,통신·네트워크
SO↔SO,COMPETES_WITH,SEC 10-K: Southern Company Gas' natural gas distribution utilities do not compete with other distributors of n,천연가스 유통,False,COMPETES_WITH,pending,pending,True,True,0.9,True,noise_self_contradiction,pending,True,False,False,천연가스 유통
STZ↔TAP,COMPETES_WITH,"SEC 10-K: In the U.S. and Canada, we compete most directly with Anheuser-Busch InBev SA/NV (""ABI"") and Constel",맥주 시장,True,,pending,pending,False,True,0.95,True,pending,pending,False,False,False,맥주 시장
SYF↔WFC,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 파트너십,True,,pending,pending,False,True,0.6,True,pending,pending,False,False,False,금융·결제·거래소
T↔TMUS,COMPETES_WITH,"SEC 10-K: In the market for broadband services, traditional cable providers, AT&T, Verizon, and other players ",광대역 서비스,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,광대역 서비스
TMUS↔VZ,COMPETES_WITH,"SEC 10-K: Our wireless communications services competitors include other carriers, such as AT&T Inc. (“AT&T”) ",무선 통신 서비스,True,,pending,pending,True,True,0.6,True,pending,pending,False,False,False,통신·네트워크
ADI↔TSM,DEPENDS_ON,"SEC 10-K: Additionally, more than half of the Company’s purchases of external wafer and foundry services are f",반도체 파운드리 서비스,True,,pending,pending,True,True,0.5,True,pending,pending,False,False,False,반도체·메모리
AMGN↔HCA,DEPENDS_ON,"SEC 10-K: In 2024, Change Healthcare, a large U.S. insurance claim and co-pay card processing clearinghouse, e",,False,DEPENDS_ON,pending,pending,True,True,0.0,True,noise_self_contradiction,pending,True,False,False,
ANET↔AVGO,DEPENDS_ON,"SEC 10-K: In particular, we are primarily reliant upon our predominant merchant silicon vendor, Broadcom, for ",상업용 실리콘,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,상업용 실리콘
APP↔META,DEPENDS_ON,SEC 10-K: The mobile app ecosystem depends in part on a relatively small number of third-party distribution pl,모바일 앱 생태계,True,,pending,pending,False,True,0.2,True,pending,pending,False,False,False,기타
BKNG↔AAPL,DEPENDS_ON,"SEC 10-K: restrictions on the use of the identifier for advertisers (such as the Apple ""IDFA"") by mobile devic",모바일 광고,True,,auto_candidate,pending,True,True,0.9,True,auto_candidate,pending,False,False,False,미디어·스트리밍·검색
BR↔UPS,DEPENDS_ON,"SEC 10-K: We rely upon the USPS and third-party carriers, including the United Parcel Service, for timely deli",물류·운송,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,물류·운송
CCI↔EQT,DEPENDS_ON,SEC 10-K: The restrictions and requirements imposed on our business and operations pursuant to certain covenan,,False,,pending,pending,False,True,0.0,True,pending,pending,False,False,False,
