symbol_pair,relation_type,basis,draft_domain,type_match,suggested_type,gate_class,review_status,target_in_basis,type_signature_ok,confidence,json_ok,gate_class_v2,review_status_v2,self_contradiction,is_enumeration,symbol_boundary_ok,normalized_tag,summary_ko,summary_flags
AMZN↔TTD,COMPETES_WITH,"SEC 10-K: We compete with other demand-side platform providers, some of which are smaller, privately held comp",수요측 플랫폼,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,수요측 플랫폼,"회사는 다른 수요측 플랫폼(DSP) 제공업체들과 경쟁하며, 이들 중 일부는 소규모의 비상장 회사이다.",target_absent|truncated
ANET↔AVGO,COMPETES_WITH,"SEC 10-K: For example, Broadcom has acquired VMware, Hewlett Packard Enterprise has acquired Juniper Networks ",,False,COMPETES_WITH,pending,pending,True,True,0.0,True,noise_self_contradiction,pending,True,True,False,,"Broadcom이 VMware를 인수했고, Hewlett Packard Enterprise가 Juniper Networks를 인수했다.",list|m&a|truncated
ANET↔HPE,COMPETES_WITH,"SEC 10-K: competition also coming from other large network equipment and system vendors, including Dell/EMC, E",네트워크 장비 및 시스템,True,,pending,pending,False,True,0.7,True,pending,pending,False,False,False,통신·네트워크,회사는 Dell/EMC 등 다른 대형 네트워크 장비 및 시스템 공급업체로부터도 경쟁에 직면한다.,target_absent|truncated
ANET↔NVDA,COMPETES_WITH,"SEC 10-K: competition also coming from other large network equipment and system vendors, including Dell/EMC, E",네트워크 장비,True,,pending,pending,False,True,0.4,True,pending,pending,False,False,False,통신·네트워크,회사는 Dell/EMC 등 다른 대형 네트워크 장비 및 시스템 공급업체로부터도 경쟁에 직면한다.,target_absent|truncated
AOS↔PNR,COMPETES_WITH,"SEC 10-K: Our principal water treatment competitors in the U.S. are Culligan, Kinetico, Pentair, Franklin Elec",수처리,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,에너지·유전·수처리,"회사의 미국 내 주요 수처리 경쟁업체는 Culligan, Kinetico, Pentair, Franklin Electric 등이다.",list|truncated
APTV↔GRMN,COMPETES_WITH,"SEC 10-K: Garmin believes that its principal competitors for auto OEM products are Alpine Electronics, Aptiv, ",자동차 OEM 제품,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,자동차·부품·산업재,"Garmin은 자사의 자동차 OEM 제품 주요 경쟁업체로 Alpine Electronics, Aptiv 등을 언급한다.",truncated
AVY↔INTC,COMPETES_WITH,"SEC 10-K: Fedrigoni Self-Adhesives; Lintec Corporation; Flexcon Corporation, Inc.; and an array of smaller reg",,False,COMPETES_WITH,pending,pending,True,True,0.0,True,noise_self_contradiction,pending,True,True,False,,"Fedrigoni Self-Adhesives, Lintec Corporation, Flexcon Corporation, Inc. 및 다양한 소규모 지역 업체들이 존재한다.",list|truncated
AVY↔MMM,COMPETES_WITH,"SEC 10-K: For graphics and reflective products, our largest competitors are 3M Company (“3M”) and the Orafol G",그래픽·반사 제품,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,기타,회사의 그래픽 및 반사 제품 분야 주요 경쟁업체는 3M Company와 Orafol Group이다.,truncated
AVY↔PPL,COMPETES_WITH,"SEC 10-K: Our larger competitors in label materials include UPM Adhesive Materials, a subsidiary of UPM Corpor",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,False,False,,회사의 라벨 재료 분야 대형 경쟁업체에는 UPM Corporation의 자회사인 UPM Adhesive Materials가 포함된다.,target_absent|truncated
AXP↔MA,COMPETES_WITH,"SEC 10-K: We compete worldwide with payments networks such as Visa, American Express, JCB, China UnionPay and ",결제 네트워크,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,금융·결제·거래소,"회사는 Visa, American Express, JCB, China UnionPay 등과 같은 결제 네트워크와 전 세계적으로 경쟁한다.",list|target_absent|truncated
AXP↔SYF,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 서비스,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,금융·결제·거래소,회사는 아메리칸 익스프레스와 같은 주요 금융 기관이 파트너 확보를 위한 주요 경쟁자라고 서술한다.,truncated
AZO↔GPC,COMPETES_WITH,"SEC 10-K: Key competitors in North America include AutoZone, Inc., O'Reilly Auto Parts, Inc., Advance Auto Par",자동차 부품 유통,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,자동차·부품·산업재,"회사는 오토존, 오라일리 오토 파츠, 어드밴스 오토 파츠를 북미 지역의 주요 경쟁자로 명시한다.",list|truncated
BAX↔COO,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,,pending,pending,True,True,0.0,True,pending,pending,False,True,False,,"회사는 존슨앤드존슨, 박스터 인터내셔널, 메드트로닉, 홀로직과 같은 대기업들이 제품을 제공한다고 언급한다.",list|truncated
BKNG↔EXPE,COMPETES_WITH,"SEC 10-K: Competitive entrants such as “metasearch” companies, including Kayak.com (owned by Booking Holdings)",메타 검색,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,미디어·스트리밍·검색,회사는 부킹 홀딩스가 소유한 카약닷컴을 포함한 '메타서치' 회사들을 경쟁 진입자로 언급한다.,target_absent
BKNG↔GOOGL,COMPETES_WITH,"SEC 10-K: For example, Google links travel search to its dominant search engine and has integrated travel prod",여행 검색,True,,auto_candidate,pending,True,True,0.9,True,auto_candidate,pending,False,False,False,여행·숙박·크루즈,회사는 구글이 여행 검색을 자사 검색 엔진에 연결하고 여행 상품을 통합한 사례를 언급한다.,truncated
BKR↔CAT,COMPETES_WITH,"SEC 10-K: An additional set of competitors, including Aggreko plc, Generac Holdings Inc., Discovery Energy, LL",,False,,pending,pending,False,True,0.0,True,pending,pending,False,True,False,,"회사는 아그레코, 제네락 홀딩스, 디스커버리 에너지를 추가적인 경쟁사 집단으로 열거한다.",list|target_absent|truncated
BKR↔HAL,COMPETES_WITH,"SEC 10-K: OFSE competitors include SLB, Halliburton, NOV, Weatherford, and TechnipFMC.",유전 서비스·장비,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,자동차·부품·산업재,"회사는 SLB, 할리버튼, NOV, 웨더포드, 테크닙FMC를 OFSE 경쟁자로 지목한다.",list
BKR↔SLB,COMPETES_WITH,"SEC 10-K: OFSE competitors include SLB, Halliburton, NOV, Weatherford, and TechnipFMC.",유전 서비스·장비,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,True,자동차·부품·산업재,"회사는 SLB, 할리버튼, NOV, 웨더포드, 테크닙FMC를 OFSE 경쟁자로 지목한다.",list
BLK↔MSCI,COMPETES_WITH,"SEC 10-K: Certain of our clients are also significant shareholders, competitors or distributors of our content",,True,,pending,pending,False,True,0.2,True,pending,pending,False,False,False,,회사는 일부 고객이 회사의 주요 주주이자 경쟁자 또는 콘텐츠 배급사이기도 하다고 밝힌다.,target_absent|truncated
CAH↔COR,COMPETES_WITH,"SEC 10-K: In the Pharma segment, we compete with wholesale distributors with national reach, including McKesso",제약 도매 유통,True,,pending,pending,False,True,0.5,True,pending,pending,False,False,False,헬스케어·의료기기·제약,회사는 제약 부문에서 매케슨과 같은 전국적인 도매 유통업체와 경쟁한다고 언급한다.,target_absent|truncated
CAH↔MCK,COMPETES_WITH,"SEC 10-K: Certain competitors also offer combinations of distribution, GPO, and provider services capabilities",의료 유통,True,,pending,pending,False,True,0.9,True,pending,pending,False,False,False,헬스케어·의료기기·제약,"일부 경쟁사들이 유통, GPO, 공급자 서비스 역량을 결합하여 제공한다.",target_absent|truncated
CARR↔JCI,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,False,COMPETES_WITH,pending,pending,True,True,0.1,True,noise_self_contradiction,pending,True,True,False,,"주요 경쟁사로는 Honeywell International, Inc.와 Siemens Smart Infrastructure가 언급된다.",list|truncated
CAT↔CMI,COMPETES_WITH,"SEC 10-K: Principal global competitors include Cummins Inc., Deutz AG, Rolls-Royce Power Systems AG and Siemen",,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,,"주요 글로벌 경쟁사로는 Cummins Inc., Deutz AG, Rolls-Royce Power Systems AG, Siemens가 언급된다.",list|truncated
CAT↔GEV,COMPETES_WITH,"SEC 10-K: Other competitors, such as Volvo Penta AB, FPT Industrial SpA (Iveco Group), INNIO Group, GE Vernova",,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,,"다른 경쟁사로는 Volvo Penta AB, FPT Industrial SpA (Iveco Group), INNIO Group, GE Vernova가 있다.",list|truncated
CAT↔GNRC,COMPETES_WITH,"SEC 10-K: An additional set of competitors, including Aggreko plc, Generac Holdings Inc., Discovery Energy, LL",,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,,"Aggreko plc, Generac Holdings Inc., Discovery Energy, LL 등 추가적인 경쟁사들이 언급된다.",list|truncated
CAT↔WAB,COMPETES_WITH,"SEC 10-K: Our primary competition for locomotives is Progress Rail, owned by a subsidiary of Caterpillar.",기관차,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,기관차,기관차 부문의 주요 경쟁사는 Caterpillar 자회사 소유의 Progress Rail이다.,target_absent
CBOE↔CME,COMPETES_WITH,"SEC 10-K: Our competitors include, among other entities, exchanges such as Intercontinental Exchange, Inc. (IC",금융 거래소,True,,pending,pending,False,True,0.9,True,pending,pending,False,True,False,금융·결제·거래소,"경쟁사에는 Intercontinental Exchange, Inc. (ICE)와 같은 거래소들이 포함된다.",list|target_absent|truncated
CCL↔NCLH,COMPETES_WITH,"SEC 10-K: Based on 2025 Cruise Industry News statistics, as of December 31, 2025, we, along with our principal",크루즈 산업,True,,pending,pending,True,True,0.3,True,pending,pending,False,False,False,여행·숙박·크루즈,"2025년 크루즈 산업 뉴스 통계에 따르면, 2025년 12월 31일 기준으로 회사는 주요 경쟁사들과 함께 언급된다.",truncated
CCL↔RCL,COMPETES_WITH,"SEC 10-K: Based on 2025 Cruise Industry News statistics, as of December 31, 2025, we, along with our principal",크루즈 산업,True,,pending,pending,False,True,0.4,True,pending,pending,False,False,False,여행·숙박·크루즈,"2025년 크루즈 산업 뉴스 통계에 따르면, 2025년 12월 31일 기준으로 회사는 주요 경쟁사들과 함께 언급된다.",target_absent|truncated
CDNS↔CTVA,COMPETES_WITH,"SEC 10-K: U.S.-based competitors include Keysight Technologies, Inc., Schrödinger, Inc., and CEVA, Inc., while",,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,True,False,,"미국 기반 경쟁사로는 Keysight Technologies, Inc., Schrödinger, Inc., CEVA, Inc. 등이 있다.",list|target_absent|truncated
CDNS↔KEYS,COMPETES_WITH,"SEC 10-K: U.S.-based competitors include Keysight Technologies, Inc., Schrödinger, Inc., and CEVA, Inc., while",,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,,"회사(발표 주체)는 미국 기반 경쟁사로 Keysight Technologies, Inc., Schrödinger, Inc., CEVA, Inc. 등을 언급한다.",list|truncated
CDNS↔SNPS,COMPETES_WITH,"SEC 10-K: Key competitors include Synopsys, Inc., Ansys, Inc. (acquired by Synopsys), Siemens EDA, and a varie",전자 설계 자동화 (EDA),True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,전자 설계 자동화 (EDA),"주요 경쟁사로는 Synopsys, Inc., Ansys, Inc. (Synopsys에 인수됨), Siemens EDA 등이 언급된다.",list|m&a|truncated
CHTR↔T,COMPETES_WITH,"SEC 10-K: Our mobile service faces competition from national mobile network operators (“MNOs”) including AT&T,",모바일 서비스,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,True,기타,회사의 모바일 서비스는 AT&T를 포함한 전국 이동통신사들로부터 경쟁에 직면해 있다.,truncated
CHTR↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,통신·네트워크,회사의 무선 통신 서비스 경쟁사에는 다수의 소규모 및 지역 경쟁사들이 포함된다.,target_absent|truncated
CI↔GEHC,COMPETES_WITH,"SEC 10-K: However, we continue to monitor developments in the China market, including increased competition fr",,True,,pending,pending,False,True,0.3,True,pending,pending,False,False,False,,"회사(발표 주체)는 중국 시장의 동향, 특히 증가하는 경쟁을 계속 주시하고 있다고 밝힌다.",target_absent|truncated
CMCSA↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.2,True,pending,pending,False,False,False,통신·네트워크,회사의 무선 통신 서비스 경쟁사에는 다수의 소규모 및 지역 경쟁사들이 포함된다.,target_absent|truncated
CME↔ICE,COMPETES_WITH,"SEC 10-K: Our competitors include, among other entities, exchanges such as Intercontinental Exchange, Inc. (IC",금융 거래소,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,금융·결제·거래소,"회사(발표 주체)는 Intercontinental Exchange, Inc.와 같은 거래소들이 경쟁사에 포함된다고 밝힌다.",list|truncated
CME↔MSCI,COMPETES_WITH,SEC 10-K: Among our Index competitors are S&P Dow Jones Indices LLC (a joint venture of S&P Global Inc. and CM,인덱스 서비스,True,,pending,pending,False,True,0.95,True,pending,pending,False,False,False,금융·결제·거래소,회사의 인덱스 경쟁사에는 S&P Global Inc.와 CM의 합작 투자 회사인 S&P Dow Jones Indices LLC가 포함된다.,target_absent|truncated
COO↔HOLX,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,COMPETES_WITH,pending,pending,True,True,0.05,True,noise_self_contradiction,pending,True,True,False,,"Johnson & Johnson, Baxter International, Medtronic, Hologic과 같은 대기업들이 특정 제품이나 서비스를 제공하고 있다고 서술한다.",list|truncated
COO↔JNJ,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,True,,auto_candidate,pending,True,True,0.9,True,auto_candidate,pending,False,True,False,,"Johnson & Johnson, Baxter International, Medtronic, Hologic과 같은 대기업들이 특정 제품이나 서비스를 제공하고 있다고 서술한다.",list|truncated
COO↔MDT,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,,pending,pending,True,True,0.0,True,pending,pending,False,True,False,,"Johnson & Johnson, Baxter International, Medtronic, Hologic과 같은 대기업들이 제공하는 제품을 언급한다.",list|truncated
COO↔RVTY,COMPETES_WITH,"SEC 10-K: In the stem cell storage field, we compete primarily with ViaCord, a division of Revvity, in the Uni",줄기세포 보관,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,줄기세포 보관,회사는 줄기세포 보관 분야에서 Revvity의 사업부인 ViaCord와 주로 경쟁한다고 명시한다.,list|truncated
COR↔MCK,COMPETES_WITH,"SEC 10-K: Certain competitors also offer combinations of distribution, GPO, and provider services capabilities",유통,True,,pending,pending,False,True,0.85,True,pending,pending,False,False,False,기타,"일부 경쟁업체들은 유통, GPO 및 제공업체 서비스 역량의 조합을 제공한다고 서술한다.",target_absent|truncated
COST↔TGT,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",종합 상품 소매,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,소매·소비재,"Walmart, Target, Kroger, Amazon을 자사의 주요 일반 상품 소매 경쟁업체로 언급한다.",list|truncated
COST↔WMT,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",종합 소매,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,True,False,소매·소비재,"Walmart, Target, Kroger, Amazon을 자사의 주요 일반 상품 소매 경쟁업체로 언급한다.",list|truncated
CRM↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",기업 클라우드,True,,pending,pending,False,True,0.6,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW,"회사의 기업 클라우드, 라이선스 및 하드웨어 제품이 일부 경쟁업체의 특정 제품과 직접 경쟁한다고 서술한다.",target_absent|truncated
CSCO↔DDOG,COMPETES_WITH,"SEC 10-K: With respect to APM, we compete with companies including Cisco Systems, Inc., New Relic, Inc. and Dy",애플리케이션 성능 모니터링,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,기타,"APM(애플리케이션 성능 관리) 분야에서 Cisco Systems, New Relic, Dynatrace 등을 포함한 회사들과 경쟁한다고 명시한다.",list|target_absent|truncated
CSCO↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,클라우드·엔터프라이즈SW,"회사의 기업 클라우드, 라이선스 및 하드웨어 제품이 일부 경쟁업체의 특정 제품과 직접 경쟁한다고 서술한다.",target_absent|truncated
CSX↔NSC,COMPETES_WITH,"SEC 10-K: CSXT’s primary rail competitor is Norfolk Southern Railway, which operates throughout much of the Co",철도,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,철도,CSXT의 주요 철도 경쟁업체가 미국 대부분 지역에서 운영되는 Norfolk Southern Railway라고 언급한다.,truncated
CVNA↔TSLA,COMPETES_WITH,"SEC 10-K: For example, rapid changes in technology, including rideshare services and the development of autono",자율주행 기술,False,COMPETES_WITH,pending,pending,False,True,0.1,True,noise_self_contradiction,pending,True,False,False,자율주행 기술,차량 공유 서비스와 자율주행차 개발을 포함한 기술의 급격한 변화를 예시로 든다.,target_absent|truncated
DAY↔WDAY,COMPETES_WITH,"SEC 10-K: These vendors include, without limitation, Anaplan, Inc.; ADP; Coupa Software Inc.; Dayforce, Inc.; ",,False,SUPPLIES_TO,pending,pending,False,True,0.1,True,pending,pending,False,True,False,,"이 문장은 Anaplan, ADP, Coupa Software, Dayforce 등의 공급업체들을 언급한다.",list|target_absent|truncated
DDOG↔MSFT,COMPETES_WITH,"SEC 10-K: With respect to on-premise infrastructure monitoring, we compete with diversified technology compani",온프레미스 인프라 모니터링,True,,pending,pending,False,True,0.8,True,pending,pending,False,False,False,기타,이 회사는 온프레미스 인프라 모니터링 분야에서 다양한 기술 회사들과 경쟁하고 있음을 서술한다.,target_absent|truncated
DDOG↔SNDK,COMPETES_WITH,"SEC 10-K: With respect to on-premise infrastructure monitoring, we compete with diversified technology compani",,False,,pending,pending,False,True,0.0,True,pending,pending,False,False,False,,이 회사는 온프레미스 인프라 모니터링 분야에서 다양한 기술 회사들과 경쟁하고 있음을 서술한다.,target_absent|truncated
DG↔DLTR,COMPETES_WITH,"SEC 10-K: Our primary direct competitors are Walmart, Family Dollar and Dollar Tree.",소매업,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,소매·소비재,"이 회사의 주요 직접 경쟁사로 월마트, 패밀리 달러, 달러 트리가 언급된다.",
DG↔WMT,COMPETES_WITH,"SEC 10-K: Our primary direct competitors are Walmart, Family Dollar and Dollar Tree.",할인 소매,True,,auto_candidate,pending,True,True,1.0,True,auto_candidate,pending,False,False,False,소매·소비재,"이 회사의 주요 직접 경쟁사로 월마트, 패밀리 달러, 달러 트리가 언급된다.",
DIS↔FOXA,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",스트리밍 서비스,True,,pending,pending,False,True,0.7,True,pending,pending,False,True,False,미디어·스트리밍·검색,"이 문장은 ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix 등의 직접 소비자 대상 스트리밍 서비스를 열거한다.",list|target_absent|truncated
DOV↔IR,COMPETES_WITH,"SEC 10-K: Our primary competitors include Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartori",,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,,"이 회사의 주요 경쟁사로 Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartorius 등이 언급된다.",list|target_absent|truncated
DXCM↔MDT,COMPETES_WITH,SEC 10-K: Medtronic plc’s Diabetes Group (which implemented a spinoff of its diabetes business into a separate,당뇨병 관리,False,COMPETES_WITH,pending,pending,True,True,0.1,True,noise_self_contradiction,pending,True,False,False,당뇨병 관리,Medtronic plc의 당뇨병 그룹이 당뇨병 사업을 별도 법인으로 분사했음을 서술한다.,m&a|truncated
EBAY↔GOOG,COMPETES_WITH,"SEC 10-K: From time to time, Alphabet has made changes to their algorithms and methodologies that have reduced",,False,DEPENDS_ON,pending,pending,True,True,0.0,True,pending,pending,False,False,False,,Alphabet이 주기적으로 알고리즘 및 방법론을 변경하여 특정 감소를 초래했음을 언급한다.,truncated
EFX↔FICO,COMPETES_WITH,"SEC 10-K: For example, Experian, TransUnion and Equifax have developed a credit scoring product to compete dir",신용 점수 산정 제품,True,,pending,pending,False,True,0.9,True,pending,pending,False,True,False,신용 점수 산정 제품,"Experian, TransUnion, Equifax가 직접 경쟁하기 위한 신용 평가 상품을 개발했음을 예시로 든다.",list|target_absent|truncated
EXPE↔GOOGL,COMPETES_WITH,"SEC 10-K: In addition to the growth of online travel agencies, we have seen continued interest in the online t",온라인 여행사,False,COMPETES_WITH,pending,pending,False,True,0.2,True,noise_self_contradiction,pending,True,False,False,여행·숙박·크루즈,온라인 여행사의 성장에 더해 온라인 여행에 대한 지속적인 관심을 언급한다.,target_absent|truncated
FAST↔GPC,COMPETES_WITH,"SEC 10-K: In industrial distribution, our main competitor is Applied Industrial Technologies, Inc., but we als",산업 유통,False,COMPETES_WITH,pending,pending,False,True,0.0,True,noise_self_contradiction,pending,True,True,False,자동차·부품·산업재,"산업 유통 분야의 주요 경쟁사로 Applied Industrial Technologies, Inc.를 언급하며 다른 경쟁사들도 있음을 서술한다.",list|target_absent|truncated
FIS↔JKHY,COMPETES_WITH,SEC 10-K: Our core solutions compete with large vendors that provide information and transaction processing so,정보·거래 처리 솔루션,True,,pending,pending,False,True,0.5,True,pending,pending,False,False,False,기타,회사의 핵심 솔루션이 정보 및 거래 처리 솔루션을 제공하는 대형 공급업체들과 경쟁한다고 서술한다.,target_absent|truncated
FISV↔GPN,COMPETES_WITH,"SEC 10-K: Our competitors in this business include, but are not limited to, Fiserv, FIS, Marqeta, Nexi, Worldl",,True,,pending,pending,False,True,1.0,True,pending,pending,False,True,False,,"해당 사업의 경쟁사로 Fiserv, FIS, Marqeta, Nexi, Worldline 등을 포함하여 언급한다.",list|target_absent|truncated
FISV↔JKHY,COMPETES_WITH,SEC 10-K: Our core solutions compete with large vendors that provide information and transaction processing so,정보 및 거래 처리,True,,pending,pending,False,True,1.0,True,pending,pending,False,False,False,기타,회사의 핵심 솔루션이 정보 및 거래 처리 솔루션을 제공하는 대형 공급업체들과 경쟁한다고 서술한다.,target_absent|truncated
FOXA↔GOOGL,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",다이렉트 투 컨슈머 스트리밍 서비스,True,,pending,pending,False,True,0.9,True,pending,pending,False,True,False,미디어·스트리밍·검색,"ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix 등과 같은 소비자 직접 판매 스트리밍 서비스를 언급한다.",list|target_absent|truncated
FOXA↔NFLX,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",스트리밍 서비스,True,,auto_candidate,pending,True,True,0.8,True,auto_candidate,pending,False,True,False,미디어·스트리밍·검색,"ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix 등과 같은 소비자 직접 판매 스트리밍 서비스를 언급한다.",list|truncated
