symbol_pair,relation_type,basis,draft_domain,type_match,suggested_type,gate_class,review_status,target_in_basis,type_signature_ok,confidence,json_ok
CAT↔WAB,COMPETES_WITH,"SEC 10-K: Our primary competition for locomotives is Progress Rail, owned by a subsidiary of Caterpillar.",기관차,True,,pending,pending,False,True,1.0,True
CBOE↔CME,COMPETES_WITH,"SEC 10-K: Our competitors include, among other entities, exchanges such as Intercontinental Exchange, Inc. (IC",금융 거래소,True,,pending,pending,False,True,0.9,True
CCL↔NCLH,COMPETES_WITH,"SEC 10-K: Based on 2025 Cruise Industry News statistics, as of December 31, 2025, we, along with our principal",크루즈 산업,True,,pending,pending,True,True,0.3,True
CCL↔RCL,COMPETES_WITH,"SEC 10-K: Based on 2025 Cruise Industry News statistics, as of December 31, 2025, we, along with our principal",크루즈 산업,True,,pending,pending,False,True,0.4,True
CDNS↔CTVA,COMPETES_WITH,"SEC 10-K: U.S.-based competitors include Keysight Technologies, Inc., Schrödinger, Inc., and CEVA, Inc., while",,False,COMPETES_WITH,pending,pending,False,True,0.0,True
CDNS↔KEYS,COMPETES_WITH,"SEC 10-K: U.S.-based competitors include Keysight Technologies, Inc., Schrödinger, Inc., and CEVA, Inc., while",,True,,auto_candidate,pending,True,True,1.0,True
CDNS↔SNPS,COMPETES_WITH,"SEC 10-K: Key competitors include Synopsys, Inc., Ansys, Inc. (acquired by Synopsys), Siemens EDA, and a varie",전자 설계 자동화 (EDA),True,,auto_candidate,pending,True,True,1.0,True
CHTR↔T,COMPETES_WITH,"SEC 10-K: Our mobile service faces competition from national mobile network operators (“MNOs”) including AT&T,",모바일 서비스,True,,auto_candidate,pending,True,True,1.0,True
CHTR↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.8,True
CI↔GEHC,COMPETES_WITH,"SEC 10-K: However, we continue to monitor developments in the China market, including increased competition fr",,True,,pending,pending,False,True,0.3,True
CMCSA↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.2,True
CME↔ICE,COMPETES_WITH,"SEC 10-K: Our competitors include, among other entities, exchanges such as Intercontinental Exchange, Inc. (IC",금융 거래소,True,,auto_candidate,pending,True,True,1.0,True
CME↔MSCI,COMPETES_WITH,SEC 10-K: Among our Index competitors are S&P Dow Jones Indices LLC (a joint venture of S&P Global Inc. and CM,인덱스 서비스,True,,pending,pending,False,True,0.95,True
COO↔HOLX,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,COMPETES_WITH,pending,pending,True,True,0.05,True
COO↔JNJ,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,True,,auto_candidate,pending,True,True,0.9,True
COO↔MDT,COMPETES_WITH,"SEC 10-K: Larger companies such as Johnson & Johnson, Baxter International, Medtronic and Hologic have offerin",,False,,pending,pending,True,True,0.0,True
COO↔RVTY,COMPETES_WITH,"SEC 10-K: In the stem cell storage field, we compete primarily with ViaCord, a division of Revvity, in the Uni",줄기세포 보관,True,,auto_candidate,pending,True,True,1.0,True
COR↔MCK,COMPETES_WITH,"SEC 10-K: Certain competitors also offer combinations of distribution, GPO, and provider services capabilities",유통,True,,pending,pending,False,True,0.85,True
COST↔TGT,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",종합 상품 소매,True,,auto_candidate,pending,True,True,1.0,True
COST↔WMT,COMPETES_WITH,"SEC 10-K: Walmart, Target, Kroger, and Amazon are among our significant general merchandise retail competitors",종합 소매,True,,auto_candidate,pending,True,True,1.0,True
CRM↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",기업 클라우드,True,,pending,pending,False,True,0.6,True
CSCO↔DDOG,COMPETES_WITH,"SEC 10-K: With respect to APM, we compete with companies including Cisco Systems, Inc., New Relic, Inc. and Dy",애플리케이션 성능 모니터링,True,,pending,pending,False,True,1.0,True
CSCO↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.8,True
CSX↔NSC,COMPETES_WITH,"SEC 10-K: CSXT’s primary rail competitor is Norfolk Southern Railway, which operates throughout much of the Co",철도,True,,auto_candidate,pending,True,True,1.0,True
CVNA↔TSLA,COMPETES_WITH,"SEC 10-K: For example, rapid changes in technology, including rideshare services and the development of autono",자율주행 기술,False,COMPETES_WITH,pending,pending,False,True,0.1,True
DAY↔WDAY,COMPETES_WITH,"SEC 10-K: These vendors include, without limitation, Anaplan, Inc.; ADP; Coupa Software Inc.; Dayforce, Inc.; ",,False,SUPPLIES_TO,pending,pending,False,True,0.1,True
DDOG↔MSFT,COMPETES_WITH,"SEC 10-K: With respect to on-premise infrastructure monitoring, we compete with diversified technology compani",온프레미스 인프라 모니터링,True,,pending,pending,False,True,0.8,True
DDOG↔SNDK,COMPETES_WITH,"SEC 10-K: With respect to on-premise infrastructure monitoring, we compete with diversified technology compani",,False,,pending,pending,False,True,0.0,True
DG↔DLTR,COMPETES_WITH,"SEC 10-K: Our primary direct competitors are Walmart, Family Dollar and Dollar Tree.",소매업,True,,auto_candidate,pending,True,True,1.0,True
DG↔WMT,COMPETES_WITH,"SEC 10-K: Our primary direct competitors are Walmart, Family Dollar and Dollar Tree.",할인 소매,True,,auto_candidate,pending,True,True,1.0,True
DIS↔FOXA,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",스트리밍 서비스,True,,pending,pending,False,True,0.7,True
DOV↔IR,COMPETES_WITH,"SEC 10-K: Our primary competitors include Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartori",,True,,pending,pending,False,True,1.0,True
DXCM↔MDT,COMPETES_WITH,SEC 10-K: Medtronic plc’s Diabetes Group (which implemented a spinoff of its diabetes business into a separate,당뇨병 관리,False,COMPETES_WITH,pending,pending,True,True,0.1,True
EBAY↔GOOG,COMPETES_WITH,"SEC 10-K: From time to time, Alphabet has made changes to their algorithms and methodologies that have reduced",,False,DEPENDS_ON,pending,pending,True,True,0.0,True
EFX↔FICO,COMPETES_WITH,"SEC 10-K: For example, Experian, TransUnion and Equifax have developed a credit scoring product to compete dir",신용 점수 산정 제품,True,,pending,pending,False,True,0.9,True
EXPE↔GOOGL,COMPETES_WITH,"SEC 10-K: In addition to the growth of online travel agencies, we have seen continued interest in the online t",온라인 여행사,False,COMPETES_WITH,pending,pending,False,True,0.2,True
FAST↔GPC,COMPETES_WITH,"SEC 10-K: In industrial distribution, our main competitor is Applied Industrial Technologies, Inc., but we als",산업 유통,False,COMPETES_WITH,pending,pending,False,True,0.0,True
FIS↔JKHY,COMPETES_WITH,SEC 10-K: Our core solutions compete with large vendors that provide information and transaction processing so,정보·거래 처리 솔루션,True,,pending,pending,False,True,0.5,True
FISV↔GPN,COMPETES_WITH,"SEC 10-K: Our competitors in this business include, but are not limited to, Fiserv, FIS, Marqeta, Nexi, Worldl",,True,,pending,pending,False,True,1.0,True
FISV↔JKHY,COMPETES_WITH,SEC 10-K: Our core solutions compete with large vendors that provide information and transaction processing so,정보 및 거래 처리,True,,pending,pending,False,True,1.0,True
FOXA↔GOOGL,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",다이렉트 투 컨슈머 스트리밍 서비스,True,,pending,pending,False,True,0.9,True
FOXA↔NFLX,COMPETES_WITH,"SEC 10-K: direct-to-consumer streaming services such as ESPN+, YouTube, Peacock, Amazon Prime Video, Netflix, ",스트리밍 서비스,True,,auto_candidate,pending,True,True,0.8,True
GOOG↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.6,True
GOOGL↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, software and hardware offerings compete directly with certain offerings from s",클라우드 서비스,True,,pending,pending,False,True,0.9,True
GOOGL↔SYF,COMPETES_WITH,"SEC 10-K: In addition, some larger technology focused companies, e.g., Apple and Google, and larger retailers ",,False,COMPETES_WITH,pending,pending,False,True,0.0,True
GOOGL↔TTD,COMPETES_WITH,"SEC 10-K: We compete with other demand-side platform providers, some of which are smaller, privately held comp",수요측 플랫폼,True,,pending,pending,False,True,0.95,True
GPC↔GWW,COMPETES_WITH,"SEC 10-K: In industrial distribution, our main competitor is Applied Industrial Technologies, Inc., but we als",,False,COMPETES_WITH,pending,pending,False,True,0.0,True
GPC↔LKQ,COMPETES_WITH,"SEC 10-K: Key competitors in North America include AutoZone, Inc., O'Reilly Auto Parts, Inc., Advance Auto Par",자동차 부품 유통,False,COMPETES_WITH,pending,pending,False,True,0.2,True
GPN↔TPR,COMPETES_WITH,"SEC 10-K: In the United States, we compete with a large number of providers, including but not limited to Fise",,False,,pending,pending,False,True,0.0,True
GPN↔XYZ,COMPETES_WITH,"SEC 10-K: In the United States, we compete with a large number of providers, including but not limited to Fise",,False,,pending,pending,False,True,0.0,True
HON↔JCI,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,True,,auto_candidate,pending,True,True,1.0,True
HPE↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.8,True
HPQ↔MSFT,COMPETES_WITH,"SEC 10-K: Our primary competitors are Acer Inc., Apple Inc., ASUSTeK Computer Inc., Dell Inc., Huawei Technolo",,False,PARTNER_WITH,pending,pending,False,True,0.0,True
IBM↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True
IEX↔IR,COMPETES_WITH,"SEC 10-K: Our primary competitors include Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartori",,True,,pending,pending,False,True,1.0,True
INCY↔ORCL,COMPETES_WITH,"SEC 10-K: For example, following our acquisition of Cerner Corporation, we also face competition from large he",,False,,pending,pending,True,True,0.0,True
INTC↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.9,True
IR↔TMO,COMPETES_WITH,"SEC 10-K: Our primary competitors include Dover, Graco, IDEX Corporation, KNF Neuberger, Netzsch, NOV, Sartori",,False,COMPETES_WITH,pending,pending,False,True,0.0,True
ISRG↔JNJ,COMPETES_WITH,"SEC 10-K: Companies that have introduced products in the field of robotic-assisted medical procedures, or have",수술용 로봇,True,,pending,pending,False,True,0.9,True
ISRG↔MDT,COMPETES_WITH,"SEC 10-K: Companies that have introduced products in the field of robotic-assisted medical procedures, or have",로봇 보조 수술,True,,pending,pending,False,True,0.7,True
JCI↔TT,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,False,,pending,pending,False,True,0.0,True
JCI↔VRT,COMPETES_WITH,"SEC 10-K: Larger competitors include Honeywell International, Inc.; Siemens Smart Infrastructure, an operating",,False,COMPETES_WITH,pending,pending,False,True,0.0,True
JPM↔SYF,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 서비스,True,,pending,pending,True,True,0.3,True
KO↔PEP,COMPETES_WITH,"SEC 10-K: In many countries in which our products are sold, including the United States, The Coca-Cola Company",음료 시장,True,,pending,pending,False,True,0.9,True
MA↔V,COMPETES_WITH,"SEC 10-K: We compete worldwide with payments networks such as Visa, American Express, JCB, China UnionPay and ",결제 네트워크,True,,auto_candidate,pending,True,True,1.0,True
MSCI↔NDAQ,COMPETES_WITH,SEC 10-K: Among our Index competitors are ... Nasdaq Inc,인덱스 서비스,True,,auto_candidate,pending,True,True,0.95,True
MSCI↔SPGI,COMPETES_WITH,SEC 10-K: Among our Index competitors are S&P Dow Jones Indices LLC (a joint venture of S&P Global Inc. and CM,지수 서비스,True,,auto_candidate,pending,True,True,1.0,True
MSFT↔ORCL,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,1.0,True
MSFT↔WDAY,COMPETES_WITH,"SEC 10-K: These vendors include, without limitation, Anaplan, Inc.; ADP; Coupa Software Inc.; Dayforce, Inc.; ",,False,,pending,pending,False,True,0.0,True
MTB↔SYF,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 서비스,True,,pending,pending,True,True,0.3,True
MU↔SNDK,COMPETES_WITH,SEC 10-K: We face intense competition in the semiconductor memory and storage markets from a number of compani,반도체 메모리,True,,pending,pending,False,True,1.0,True
NOW↔WDAY,COMPETES_WITH,"SEC 10-K: These vendors include, without limitation, Anaplan, Inc.; ADP; Coupa Software Inc.; Dayforce, Inc.; ",,False,,pending,pending,False,True,0.0,True
ORCL↔WDAY,COMPETES_WITH,"SEC 10-K: Our enterprise cloud, license and hardware offerings compete directly with certain offerings from so",엔터프라이즈 클라우드,True,,pending,pending,False,True,0.5,True
SATS↔TMUS,COMPETES_WITH,"SEC 10-K: In addition, our wireless communications services competitors include numerous smaller and regional ",무선 통신 서비스,True,,pending,pending,False,True,0.1,True
SO↔SO,COMPETES_WITH,SEC 10-K: Southern Company Gas' natural gas distribution utilities do not compete with other distributors of n,천연가스 유통,False,COMPETES_WITH,pending,pending,True,True,0.9,True
STZ↔TAP,COMPETES_WITH,"SEC 10-K: In the U.S. and Canada, we compete most directly with Anheuser-Busch InBev SA/NV (""ABI"") and Constel",맥주 시장,True,,pending,pending,False,True,0.95,True
SYF↔WFC,COMPETES_WITH,"SEC 10-K: Our primary competitors for partners include major financial institutions, such as American Express,",금융 파트너십,True,,pending,pending,False,True,0.6,True
T↔TMUS,COMPETES_WITH,"SEC 10-K: In the market for broadband services, traditional cable providers, AT&T, Verizon, and other players ",광대역 서비스,True,,pending,pending,False,True,0.9,True
TMUS↔VZ,COMPETES_WITH,"SEC 10-K: Our wireless communications services competitors include other carriers, such as AT&T Inc. (“AT&T”) ",무선 통신 서비스,True,,pending,pending,True,True,0.6,True
ADI↔TSM,DEPENDS_ON,"SEC 10-K: Additionally, more than half of the Company’s purchases of external wafer and foundry services are f",반도체 파운드리 서비스,True,,pending,pending,True,True,0.5,True
AMGN↔HCA,DEPENDS_ON,"SEC 10-K: In 2024, Change Healthcare, a large U.S. insurance claim and co-pay card processing clearinghouse, e",,False,DEPENDS_ON,pending,pending,True,True,0.0,True
ANET↔AVGO,DEPENDS_ON,"SEC 10-K: In particular, we are primarily reliant upon our predominant merchant silicon vendor, Broadcom, for ",상업용 실리콘,True,,auto_candidate,pending,True,True,1.0,True
APP↔META,DEPENDS_ON,SEC 10-K: The mobile app ecosystem depends in part on a relatively small number of third-party distribution pl,모바일 앱 생태계,True,,pending,pending,False,True,0.2,True
BKNG↔AAPL,DEPENDS_ON,"SEC 10-K: restrictions on the use of the identifier for advertisers (such as the Apple ""IDFA"") by mobile devic",모바일 광고,True,,auto_candidate,pending,True,True,0.9,True
BR↔UPS,DEPENDS_ON,"SEC 10-K: We rely upon the USPS and third-party carriers, including the United Parcel Service, for timely deli",물류·운송,True,,auto_candidate,pending,True,True,1.0,True
CCI↔EQT,DEPENDS_ON,SEC 10-K: The restrictions and requirements imposed on our business and operations pursuant to certain covenan,,False,,pending,pending,False,True,0.0,True
CI↔HCA,DEPENDS_ON,"SEC 10-K: For example, Change Healthcare, a health technology company owned by UnitedHealth Group and a servic",,False,DEPENDS_ON,pending,pending,True,True,0.0,True
CME↔NDAQ,DEPENDS_ON,SEC 10-K: We also have exclusive license agreements for certain Nasdaq indices through 2039 and for certain Ru,금융 지수,True,,auto_candidate,pending,True,True,0.9,True
CPAY↔V,DEPENDS_ON,"SEC 10-K: Third-party networks are operated by independent parties, such as MasterCard and VISA, and tend to b",결제 네트워크,True,,auto_candidate,pending,True,True,0.9,True
CSGP↔GOOGL,DEPENDS_ON,"SEC 10-K: For example, starting on July 1, 2024, Universal Analytics (UA), Google’s legacy analytics platform ",웹 분석 플랫폼,False,,pending,pending,True,True,0.0,True
DLR↔DLR,DEPENDS_ON,"SEC 10-K: As the sole general partner of our Operating Partnership, our Parent has the full, exclusive and com",,True,,pending,pending,False,True,0.9,True
EBAY↔GOOGL,DEPENDS_ON,"SEC 10-K: In addition, we rely on Google search to direct a significant amount of traffic to our platforms.",온라인 검색,True,,auto_candidate,pending,True,True,0.9,True
EXR↔EXR,DEPENDS_ON,"SEC 10-K: The Company was formed to continue the business of Extra Space Storage LLC and its subsidiaries, whi",셀프 스토리지,True,,auto_candidate,pending,True,True,0.9,True
FICO↔EFX,DEPENDS_ON,"SEC 10-K: Our Scores segment relies on, among others, Experian, TransUnion and Equifax.",신용정보 서비스,True,,auto_candidate,pending,True,True,1.0,True
FTNT↔AMD,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",CPU,True,,pending,pending,False,True,0.8,True
FTNT↔AVGO,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",중앙처리장치(CPU),True,,pending,pending,False,True,0.7,True
FTNT↔DIS,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",,False,,pending,pending,False,True,0.0,True
FTNT↔INTC,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",CPU,True,,pending,pending,False,True,0.9,True
FTNT↔MU,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",,False,DEPENDS_ON,pending,pending,False,True,0.0,True
FTNT↔QCOM,DEPENDS_ON,"SEC 10-K: Some of the components important to our business, including certain Central Processing Units (“CPUs”",중앙처리장치,True,,pending,pending,False,True,0.6,True
GDDY↔META,DEPENDS_ON,SEC 10-K: Our customers and their businesses rely heavily on tools and solutions that help them manage and gro,,False,COMPETES_WITH,pending,pending,False,True,0.1,True
GDDY↔MSFT,DEPENDS_ON,"SEC 10-K: We rely on certain relationships with partners to offer and support key products and services, some ",,True,,pending,pending,False,True,0.3,True
GPN↔USB,DEPENDS_ON,"SEC 10-K: Elavon, Inc., a subsidiary of U.S. Bancorp",금융 서비스,False,COMPETES_WITH,pending,pending,True,True,0.3,True
GS↔GS,DEPENDS_ON,SEC 10-K: Goldman Sachs Asset Management BV is subject to similar requirements as a management company license,자산 관리,False,,pending,pending,True,True,0.7,True
HWM↔AEE,DEPENDS_ON,SEC 10-K: Arconic Architectural Products SAS (“AAP SAS”) (now a subsidiary of Arconic Corporation) supplied Re,건축 제품,False,SUPPLIES_TO,pending,pending,True,True,0.0,True
NVR↔NVR,DEPENDS_ON,"SEC 10-K: Because NVRM originates mortgage loans exclusively for our homebuilding customers, NVRM is dependent",모기지 대출,True,,auto_candidate,pending,True,True,1.0,True
NWSA↔AMZN,DEPENDS_ON,"SEC 10-K: For example, the Company relies on Amazon Web Services to supply cloud-based services used in many o",클라우드 서비스,True,,auto_candidate,pending,True,True,1.0,True
NWSA↔GOOGL,DEPENDS_ON,SEC 10-K: and Google to provide workspace and other enterprise services.,기업용 솔루션,True,,auto_candidate,pending,True,True,0.9,True
ORCL↔CVX,DEPENDS_ON,"SEC 10-K: For example, following our acquisition of Cerner Corporation, we also face competition from large he",,False,COMPETES_WITH,pending,pending,True,False,0.0,True
PCAR↔CMI,DEPENDS_ON,"SEC 10-K: A loss of supply from Cummins, Eaton, ZF or Magna, and the resulting interruption in the production ",엔진,True,,auto_candidate,pending,True,True,0.95,True
PCAR↔ETN,DEPENDS_ON,"SEC 10-K: A loss of supply from Cummins, Eaton, ZF or Magna, and the resulting interruption in the production ",트럭 부품 공급,True,,auto_candidate,pending,True,True,0.9,True
PCAR↔LII,DEPENDS_ON,"SEC 10-K: A loss of supply from Cummins, Eaton, ZF or Magna, and the resulting interruption in the production ",,False,DEPENDS_ON,pending,pending,False,True,0.0,True
PSA↔GOOGL,DEPENDS_ON,"SEC 10-K: Marketing initiatives, including our increasing dependence on Google to source customers, may fail t",디지털 마케팅,True,,auto_candidate,pending,True,True,1.0,True
SMCI↔ALGN,DEPENDS_ON,SEC 10-K: Ablecom also coordinates the manufacturing of chassis for us.,,False,,pending,pending,False,True,0.0,True
SNDK↔WDC,DEPENDS_ON,"SEC 10-K: Prior to February 21, 2025, we were wholly owned by WDC.",,True,,auto_candidate,pending,True,True,1.0,True
SYF↔FISV,DEPENDS_ON,"SEC 10-K: For example, our principal technology and related services (including credit card transaction proces",신용카드 거래 처리,False,SUPPLIES_TO,pending,pending,False,True,0.1,True
